date,pred_ret_1d,pred_ret_5d,logvar_1d,pred_direction,actual_ret_1d,actual_direction,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-01,0.001925,-0.009003,-0.872621,1,0.007796,1,1,0.007796,0.007796,0.007796
2025-12-02,0.001330,-0.018537,-0.850860,1,0.002441,1,1,0.002441,0.010236,0.010236
2025-12-03,-0.000687,-0.013549,-0.860023,-1,-0.000931,-1,1,0.000931,0.011167,0.009306
2025-12-04,-0.000621,-0.018252,-0.841009,-1,0.004069,1,0,-0.004069,0.007098,0.013375
2025-12-05,-0.000731,-0.010881,-0.851067,-1,-0.001920,-1,1,0.001920,0.009018,0.011455
2025-12-08,-0.000052,-0.010406,-0.844302,-1,0.001233,1,0,-0.001233,0.007786,0.012687
2025-12-09,0.001670,-0.005201,-0.832244,1,0.004087,1,1,0.004087,0.011873,0.016774
2025-12-10,-0.004787,-0.002940,-0.836757,-1,-0.003240,-1,1,0.003240,0.015113,0.013535
2025-12-11,-0.003014,0.000745,-0.850901,-1,-0.019303,-1,1,0.019303,0.034416,-0.005769
2025-12-12,-0.004530,0.022105,-0.777721,-1,-0.005032,-1,1,0.005032,0.039448,-0.010801
2025-12-15,0.001296,0.028067,-0.845520,1,0.001980,1,1,0.001980,0.041428,-0.008821
2025-12-16,-0.000045,0.013482,-0.716138,-1,-0.018711,-1,1,0.018711,0.060139,-0.027532
2025-12-17,0.008109,0.006414,-0.871693,1,0.014386,1,1,0.014386,0.074525,-0.013146
2025-12-18,-0.004259,-0.016723,-0.791072,-1,0.012951,1,0,-0.012951,0.061574,-0.000194
2025-12-19,0.006096,-0.011230,-0.795504,1,0.004782,1,1,0.004782,0.066356,0.004588
2025-12-22,0.001212,-0.010006,-0.835760,1,0.004672,1,1,0.004672,0.071029,0.009260
2025-12-23,-0.000390,-0.010642,-0.850667,-1,0.002921,1,0,-0.002921,0.068107,0.012181
2025-12-24,0.002589,-0.001843,-0.859170,1,-0.000064,-1,0,-0.000064,0.068043,0.012117
2025-12-26,0.003921,-0.003012,-0.865226,1,-0.004852,-1,0,-0.004852,0.063191,0.007265
2025-12-29,0.001603,0.002354,-0.852087,1,-0.002322,-1,0,-0.002322,0.060869,0.004943
2025-12-30,0.009242,0.003771,-0.813639,1,-0.008300,-1,0,-0.008300,0.052569,-0.003357
2025-12-31,0.001880,0.009654,-0.764390,1,-0.001939,-1,0,-0.001939,0.050630,-0.005296
2026-01-02,0.000786,0.006407,-0.781695,1,0.007912,1,1,0.007912,0.058541,0.002615
2026-01-05,0.000403,0.006156,-0.865295,1,0.008748,1,1,0.008748,0.067289,0.011364
2026-01-06,-0.001168,0.011903,-0.874411,-1,0.000962,1,0,-0.000962,0.066327,0.012326
2026-01-07,-0.007130,0.010658,-0.863006,-1,-0.005705,-1,1,0.005705,0.072033,0.006620
2026-01-08,-0.001889,0.007814,-0.860334,-1,0.009911,1,0,-0.009911,0.062122,0.016531
2026-01-09,0.000153,-0.001569,-0.862634,1,0.000829,1,1,0.000829,0.062951,0.017361
2026-01-12,-0.001704,0.005338,-0.867515,-1,-0.001484,-1,1,0.001484,0.064435,0.015877
2026-01-13,-0.005149,0.008330,-0.854002,-1,-0.010740,-1,1,0.010740,0.075175,0.005137
2026-01-14,0.004786,0.003562,-0.873305,1,0.003593,1,1,0.003593,0.078768,0.008729
2026-01-15,0.007166,0.005352,-0.858460,1,-0.000837,-1,0,-0.000837,0.077932,0.007893
2026-01-16,-0.006571,0.000342,-0.797504,-1,-0.021476,-1,1,0.021476,0.099408,-0.013583
2026-01-20,0.000378,-0.005407,-0.701194,1,0.013428,1,1,0.013428,0.112836,-0.000155
2026-01-21,0.002214,0.011385,-0.731738,1,0.007243,1,1,0.007243,0.120079,0.007088
2026-01-22,-0.005499,0.018443,-0.778589,-1,0.003152,1,0,-0.003152,0.116926,0.010240
2026-01-23,-0.005555,0.019898,-0.819173,-1,0.004390,1,0,-0.004390,0.112536,0.014631
2026-01-26,0.000426,0.016381,-0.834408,1,0.009024,1,1,0.009024,0.121560,0.023655
2026-01-27,-0.000423,0.002215,-0.864083,-1,0.003306,1,0,-0.003306,0.118254,0.026961
2026-01-28,0.003318,0.001521,-0.846064,1,-0.006003,-1,0,-0.006003,0.112251,0.020958
2026-01-29,0.000756,-0.003001,-0.827701,1,-0.012084,-1,0,-0.012084,0.100168,0.008874
2026-01-30,-0.012259,-0.005508,-0.734143,-1,0.006843,1,0,-0.006843,0.093325,0.015717
2026-02-02,0.002238,0.012229,-0.904077,1,-0.015483,-1,0,-0.015483,0.077841,0.000234
2026-02-03,-0.009806,-0.016893,-0.776317,-1,-0.017623,-1,1,0.017623,0.095465,-0.017389
2026-02-04,0.004779,0.007109,-0.895941,1,-0.014500,-1,0,-0.014500,0.080965,-0.031889
2026-02-05,0.011725,0.020683,-0.869453,1,0.020918,1,1,0.020918,0.101882,-0.010972
2026-02-06,0.002824,0.014925,-0.906962,1,0.007631,1,1,0.007631,0.109513,-0.003341
2026-02-09,-0.001911,0.013759,-0.906357,-1,-0.004650,-1,1,0.004650,0.114163,-0.007991
2026-02-10,0.002829,0.043325,-0.808790,1,0.002678,1,1,0.002678,0.116842,-0.005313
2026-02-11,-0.001495,0.020464,-0.853789,-1,-0.020549,-1,1,0.020549,0.137391,-0.025861
2026-02-12,-0.002620,0.033972,-0.747735,-1,0.002129,1,0,-0.002129,0.135262,-0.023732
2026-02-13,-0.018070,0.013444,-0.802175,-1,-0.001031,-1,1,0.001031,0.136292,-0.024763
