feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
shy_logret_20d,bonds_credit,1.926300,1.870100,0.056100,101
gold_logret_1d,commodities,1.926300,1.870100,0.056100,102
gold_logret_5d,commodities,1.926300,1.891000,0.035300,103
qqq_donchian_pos50,qqq_primary,1.926300,1.899200,0.027100,104
qqq_gk_vol_20d,qqq_primary,1.926300,1.905400,0.020800,105
qqq_mom_12m,qqq_primary,1.926300,1.905400,0.020800,106
qqq_rev_1m,qqq_primary,1.926300,1.905400,0.020800,107
xlf_logret_5d,sectors,1.926300,1.905400,0.020800,108
vxn_logret_5d,volatility_regime,1.926300,1.905400,0.020800,109
tlt_logret_5d,bonds_credit,1.926300,1.905400,0.020800,110
usdjpy_logret_5d,fx_macro,1.926300,1.905400,0.020800,111
dia_logret_5d,benchmarks,1.926300,1.905400,0.020800,112
sec_xly_logret_5d,sectors,1.926300,1.905400,0.020800,113
sec_xlp_logret_5d,sectors,1.926300,1.905400,0.020800,114
sector_dispersion_5d,sectors,1.926300,1.905400,0.020800,115
sector_breadth_20d,sectors,1.926300,1.905400,0.020800,116
xlv_ma20_z,sectors,1.926300,1.908100,0.018200,117
wti_logret_1d,commodities,1.926300,1.908100,0.018200,118
xlp_ma20_z,sectors,1.926300,1.910200,0.016100,119
xlk_minus_xlp_5d,sectors,1.926300,1.920300,0.006000,120
eem_logret_5d,benchmarks,1.926300,1.923700,0.002500,121
qqq_logret_1d,qqq_primary,1.926300,1.926300,0.000000,122
qqq_logret_252d,qqq_primary,1.926300,1.926300,0.000000,123
qqq_close_to_sma200,qqq_primary,1.926300,1.926300,0.000000,124
qqq_macd_norm,qqq_primary,1.926300,1.926300,0.000000,125
qqq_stoch_k14,qqq_primary,1.926300,1.926300,0.000000,126
qqq_yz_vol_20d,qqq_primary,1.926300,1.926300,0.000000,127
qqq_donchian_pos252,qqq_primary,1.926300,1.926300,0.000000,128
qqq_dist_52w_high,qqq_primary,1.926300,1.926300,0.000000,129
qqq_dist_52w_low,qqq_primary,1.926300,1.926300,0.000000,130
qqq_mom_3m,qqq_primary,1.926300,1.926300,0.000000,131
qqq_mom_12_2,qqq_primary,1.926300,1.926300,0.000000,132
qqq_amihud_20d,qqq_primary,1.926300,1.926300,0.000000,133
xlp_logret_1d,sectors,1.926300,1.926300,0.000000,134
xle_logret_20d,sectors,1.926300,1.926300,0.000000,135
xlu_logret_1d,sectors,1.926300,1.926300,0.000000,136
xlu_ma20_z,sectors,1.926300,1.926300,0.000000,137
vix_logret_5d,volatility_regime,1.926300,1.926300,0.000000,138
move,volatility_regime,1.926300,1.926300,0.000000,139
move_over_vix,volatility_regime,1.926300,1.926300,0.000000,140
skew,volatility_regime,1.926300,1.926300,0.000000,141
vrp_proxy,volatility_regime,1.926300,1.926300,0.000000,142
yld_5y,yields_curve,1.926300,1.926300,0.000000,143
yld_30y,yields_curve,1.926300,1.926300,0.000000,144
yld_3m,yields_curve,1.926300,1.926300,0.000000,145
term_10y_3m,yields_curve,1.926300,1.926300,0.000000,146
term_10y_5y,yields_curve,1.926300,1.926300,0.000000,147
term_30y_10y,yields_curve,1.926300,1.926300,0.000000,148
tip_logret_5d,bonds_credit,1.926300,1.926300,0.000000,149
tip_logret_20d,bonds_credit,1.926300,1.926300,0.000000,150
dxy_logret_20d,fx_macro,1.926300,1.926300,0.000000,151
eurusd_logret_1d,fx_macro,1.926300,1.926300,0.000000,152
eurusd_logret_20d,fx_macro,1.926300,1.926300,0.000000,153
gold_over_qqq,commodities,1.926300,1.926300,0.000000,154
copper_gold_ratio,commodities,1.926300,1.926300,0.000000,155
qqq_over_spy,qqq_primary,1.926300,1.926300,0.000000,156
qqq_over_spy_5d,qqq_primary,1.926300,1.926300,0.000000,157
qqq_over_dia,qqq_primary,1.926300,1.926300,0.000000,158
qqq_over_iwm,qqq_primary,1.926300,1.926300,0.000000,159
efa_logret_5d,benchmarks,1.926300,1.926300,0.000000,160
qqq_over_efa,qqq_primary,1.926300,1.926300,0.000000,161
qqq_over_eem,qqq_primary,1.926300,1.926300,0.000000,162
sec_xle_logret_5d,sectors,1.926300,1.926300,0.000000,163
qqq_over_ixic,qqq_primary,1.926300,1.926300,0.000000,164
qqq_over_soxx_5d,qqq_primary,1.926300,1.926300,0.000000,165
var_ratio_20_1,autoregressive,1.926300,1.926300,0.000000,166
dd_from_252max,autoregressive,1.926300,1.926300,0.000000,167
fomc_day,calendar,1.926300,1.926300,0.000000,168
opex_friday,calendar,1.926300,1.926300,0.000000,169
opex_week,calendar,1.926300,1.926300,0.000000,170
earnings_season,calendar,1.926300,1.926300,0.000000,171
qqq_logret_120d,qqq_primary,1.926300,1.928900,-0.002700,172
xlf_logret_1d,sectors,1.926300,1.928900,-0.002700,173
xli_logret_20d,sectors,1.926300,1.928900,-0.002700,174
vxn_logret_1d,volatility_regime,1.926300,1.928900,-0.002700,175
var_ratio_5_1,autoregressive,1.926300,1.928900,-0.002700,176
month_cos,calendar,1.926300,1.928900,-0.002700,177
xlv_logret_1d,sectors,1.926300,1.930200,-0.004000,178
qqq_over_ixic_5d,qqq_primary,1.926300,1.932000,-0.005800,179
copper_logret_5d,commodities,1.926300,1.966500,-0.040200,180
spy_logret_5d,benchmarks,1.926300,1.966500,-0.040200,181
qqq_close_to_sma10,qqq_primary,1.926300,1.969300,-0.043100,182
qqq_yz_vol_60d,qqq_primary,1.926300,1.980500,-0.054200,183
iwm_logret_5d,benchmarks,1.926300,1.980500,-0.054200,184
lag_ret_2d,autoregressive,1.926300,1.980500,-0.054200,185
xly_logret_5d,sectors,1.926300,1.987300,-0.061100,186
dxy_logret_1d,fx_macro,1.926300,1.987300,-0.061100,187
n225_logret_5d,intl_risk,1.926300,1.987300,-0.061100,188
smh_logret_20d,industry_tilts,1.926300,1.987300,-0.061100,189
ibb_logret_20d,industry_tilts,1.926300,1.987300,-0.061100,190
dow_fri,calendar,1.926300,1.988400,-0.062200,191
qqq_max_1m_ret,qqq_primary,1.926300,2.001300,-0.075100,192
xly_logret_1d,sectors,1.926300,2.001300,-0.075100,193
dow_thu,calendar,1.926300,2.001300,-0.075100,194
month,calendar,1.926300,2.004000,-0.077800,195
qqq_logret_5d,qqq_primary,1.926300,2.007400,-0.081100,196
silver_logret_5d,commodities,1.926300,2.019900,-0.093700,197
qqq_logret_20d,qqq_primary,1.926300,2.044300,-0.118000,198
xlp_logret_20d,sectors,1.926300,2.061200,-0.135000,199
vix_z60,volatility_regime,1.926300,2.071500,-0.145200,200
silver_logret_20d,commodities,1.926300,2.084400,-0.158200,201
qqq_close_to_sma5,qqq_primary,1.926300,2.239000,-0.312800,202
qqq_vol_z60,qqq_primary,1.926300,2.287300,-0.361000,203
xli_logret_1d,sectors,1.926300,2.297500,-0.371200,204
copper_logret_20d,commodities,1.926300,2.303200,-0.376900,205
