date,pred_ret_1d,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-11-18,-0.004280,-1,0.005952,0,-0.005952,-0.005952,0.005952
2025-11-19,-0.015857,-1,-0.023956,1,0.023956,0.018004,-0.018004
2025-11-20,-0.004324,-1,0.007485,0,-0.007485,0.010519,-0.010519
2025-11-21,-0.000912,-1,0.025252,0,-0.025252,-0.014732,0.014732
2025-11-24,-0.002979,-1,0.006145,0,-0.006145,-0.020877,0.020877
2025-11-25,0.002883,1,0.008797,1,0.008797,-0.012080,0.029674
2025-11-26,0.000768,1,0.008074,1,0.008074,-0.004006,0.037748
2025-11-28,0.003728,1,-0.003365,0,-0.003365,-0.007370,0.034384
2025-12-01,-0.001676,-1,0.007796,0,-0.007796,-0.015166,0.042179
2025-12-02,-0.000909,-1,0.002441,0,-0.002441,-0.017607,0.044620
2025-12-03,0.000413,1,-0.000931,0,-0.000931,-0.018537,0.043690
2025-12-04,0.000038,1,0.004069,1,0.004069,-0.014468,0.047759
2025-12-05,0.000785,1,-0.001920,0,-0.001920,-0.016389,0.045838
2025-12-08,0.004122,1,0.001233,1,0.001233,-0.015156,0.047071
2025-12-09,0.002799,1,0.004087,1,0.004087,-0.011069,0.051158
2025-12-10,0.000690,1,-0.003240,0,-0.003240,-0.014308,0.047919
2025-12-11,0.002711,1,-0.019303,0,-0.019303,-0.033612,0.028615
2025-12-12,0.006953,1,-0.005032,0,-0.005032,-0.038644,0.023583
2025-12-15,0.008445,1,0.001980,1,0.001980,-0.036664,0.025563
2025-12-16,0.008260,1,-0.018711,0,-0.018711,-0.055375,0.006852
2025-12-17,0.009513,1,0.014386,1,0.014386,-0.040989,0.021238
2025-12-18,0.002099,1,0.012951,1,0.012951,-0.028037,0.034190
2025-12-19,0.005581,1,0.004782,1,0.004782,-0.023255,0.038972
2025-12-22,0.003826,1,0.004672,1,0.004672,-0.018583,0.043644
2025-12-23,0.000670,1,0.002921,1,0.002921,-0.015662,0.046565
2025-12-24,0.002597,1,-0.000064,0,-0.000064,-0.015726,0.046501
2025-12-26,0.000262,1,-0.004852,0,-0.004852,-0.020578,0.041649
2025-12-29,-0.000454,-1,-0.002322,1,0.002322,-0.018256,0.039327
2025-12-30,0.001986,1,-0.008300,0,-0.008300,-0.026556,0.031027
2025-12-31,0.001478,1,-0.001939,0,-0.001939,-0.028495,0.029088
2026-01-02,0.001774,1,0.007912,1,0.007912,-0.020584,0.036999
2026-01-05,-0.002581,-1,0.008748,0,-0.008748,-0.029332,0.045747
2026-01-06,0.000702,1,0.000962,1,0.000962,-0.028370,0.046709
2026-01-07,0.003499,1,-0.005705,0,-0.005705,-0.034075,0.041004
2026-01-08,0.003913,1,0.009911,1,0.009911,-0.024164,0.050915
2026-01-09,0.002816,1,0.000829,1,0.000829,-0.023334,0.051745
2026-01-12,0.003712,1,-0.001484,0,-0.001484,-0.024818,0.050261
2026-01-13,0.005513,1,-0.010740,0,-0.010740,-0.035559,0.039520
2026-01-14,0.007682,1,0.003593,1,0.003593,-0.031966,0.043113
2026-01-15,0.006551,1,-0.000837,0,-0.000837,-0.032802,0.042277
2026-01-16,0.009590,1,-0.021476,0,-0.021476,-0.054279,0.020801
2026-01-20,0.005886,1,0.013428,1,0.013428,-0.040851,0.034228
2026-01-21,0.000576,1,0.007243,1,0.007243,-0.033608,0.041472
2026-01-22,-0.000953,-1,0.003152,0,-0.003152,-0.036760,0.044624
2026-01-23,-0.002094,-1,0.004390,0,-0.004390,-0.041150,0.049014
2026-01-26,-0.006254,-1,0.009024,0,-0.009024,-0.050175,0.058039
2026-01-27,0.000619,1,0.003306,1,0.003306,-0.046869,0.061345
2026-01-28,-0.003492,-1,-0.006003,1,0.006003,-0.040866,0.055342
2026-01-29,-0.001658,-1,-0.012084,1,0.012084,-0.028782,0.043258
2026-01-30,0.010824,1,0.006843,1,0.006843,-0.021939,0.050101
2026-02-02,0.001864,1,-0.015483,0,-0.015483,-0.037422,0.034618
2026-02-03,0.001649,1,-0.017623,0,-0.017623,-0.055046,0.016994
2026-02-04,0.001437,1,-0.014500,0,-0.014500,-0.069546,0.002494
2026-02-05,0.007418,1,0.020918,1,0.020918,-0.048628,0.023412
2026-02-06,-0.002283,-1,0.007631,0,-0.007631,-0.056259,0.031043
2026-02-09,-0.008348,-1,-0.004650,1,0.004650,-0.051609,0.026393
2026-02-10,0.002454,1,0.002678,1,0.002678,-0.048930,0.029071
2026-02-11,0.001568,1,-0.020549,0,-0.020549,-0.069479,0.008523
2026-02-12,0.005442,1,0.002129,1,0.002129,-0.067350,0.010652
2026-02-13,0.002242,1,-0.001031,0,-0.001031,-0.068381,0.009621
2026-02-17,0.005904,1,0.007439,1,0.007439,-0.060941,0.017060
2026-02-18,0.005132,1,-0.003837,0,-0.003837,-0.064778,0.013223
2026-02-19,0.003100,1,0.008810,1,0.008810,-0.055969,0.022033
2026-02-20,0.009669,1,-0.012229,0,-0.012229,-0.068198,0.009804
2026-02-23,0.008096,1,0.010684,1,0.010684,-0.057514,0.020488
2026-02-24,0.011262,1,0.014389,1,0.014389,-0.043125,0.034877
2026-02-25,0.006088,1,-0.012138,0,-0.012138,-0.055263,0.022739
2026-02-26,0.009561,1,-0.003206,0,-0.003206,-0.058468,0.019533
2026-02-27,0.007766,1,0.001316,1,0.001316,-0.057152,0.020850
2026-03-02,0.002738,1,-0.010763,0,-0.010763,-0.067915,0.010087
2026-03-03,-0.003312,-1,0.015128,0,-0.015128,-0.083043,0.025215
2026-03-04,-0.012049,-1,-0.003017,1,0.003017,-0.080026,0.022197
2026-03-05,-0.011887,-1,-0.015158,1,0.015158,-0.064868,0.007040
2026-03-06,-0.011839,-1,0.013267,0,-0.013267,-0.078136,0.020307
2026-03-09,-0.009704,-1,0.000016,0,-0.000016,-0.078152,0.020324
2026-03-10,0.000019,1,-0.000132,0,-0.000132,-0.078284,0.020192
