feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
xlp_logret_5d,sectors,1.503600,0.786200,0.717400,1
xlb_logret_5d,sectors,1.503600,0.786200,0.717400,2
move_z60,volatility_regime,1.503600,0.786200,0.717400,3
gold_logret_5d,commodities,1.503600,0.786200,0.717400,4
qqq_logret_120d,qqq_primary,1.503600,1.130700,0.373000,5
xlf_ma20_z,sectors,1.503600,1.130700,0.373000,6
xlp_logret_20d,sectors,1.503600,1.130700,0.373000,7
xlp_ma20_z,sectors,1.503600,1.130700,0.373000,8
xlu_logret_20d,sectors,1.503600,1.130700,0.373000,9
xlb_logret_20d,sectors,1.503600,1.130700,0.373000,10
vix_logret_5d,volatility_regime,1.503600,1.130700,0.373000,11
vix_z60,volatility_regime,1.503600,1.130700,0.373000,12
shy_logret_20d,bonds_credit,1.503600,1.130700,0.373000,13
dxy_logret_5d,fx_macro,1.503600,1.130700,0.373000,14
gold_logret_1d,commodities,1.503600,1.130700,0.373000,15
silver_logret_5d,commodities,1.503600,1.130700,0.373000,16
qqq_over_spy_5d,qqq_primary,1.503600,1.130700,0.373000,17
sec_xlp_logret_5d,sectors,1.503600,1.130700,0.373000,18
sector_breadth_20d,sectors,1.503600,1.130700,0.373000,19
qqq_over_ixic_5d,qqq_primary,1.503600,1.130700,0.373000,20
xlf_logret_20d,sectors,1.503600,1.157400,0.346200,21
xlu_logret_5d,sectors,1.503600,1.157400,0.346200,22
xlu_ma20_z,sectors,1.503600,1.157400,0.346200,23
vix,volatility_regime,1.503600,1.157400,0.346200,24
vxn_over_vix,volatility_regime,1.503600,1.157400,0.346200,25
wti_logret_5d,commodities,1.503600,1.157400,0.346200,26
wti_logret_20d,commodities,1.503600,1.157400,0.346200,27
usdjpy_logret_5d,fx_macro,1.503600,1.157400,0.346200,28
sec_xlu_logret_5d,sectors,1.503600,1.157400,0.346200,29
xly_minus_xlp_5d,sectors,1.503600,1.157400,0.346200,30
ftse_logret_5d,intl_risk,1.503600,1.157400,0.346200,31
dow_wed,calendar,1.503600,1.157400,0.346200,32
dow_fri,calendar,1.503600,1.157400,0.346200,33
jan_effect,calendar,1.503600,1.157400,0.346200,34
opex_week,calendar,1.503600,1.157400,0.346200,35
earnings_season,calendar,1.503600,1.157400,0.346200,36
move_logret_5d,volatility_regime,1.503600,1.160100,0.343600,37
silver_logret_20d,commodities,1.503600,1.204700,0.299000,38
xlv_logret_20d,sectors,1.503600,1.324000,0.179700,39
qqq_logret_1d,qqq_primary,1.503600,1.503600,0.000000,40
qqq_logret_5d,qqq_primary,1.503600,1.503600,0.000000,41
qqq_logret_20d,qqq_primary,1.503600,1.503600,0.000000,42
qqq_logret_60d,qqq_primary,1.503600,1.503600,0.000000,43
qqq_logret_252d,qqq_primary,1.503600,1.503600,0.000000,44
qqq_close_to_sma5,qqq_primary,1.503600,1.503600,0.000000,45
qqq_close_to_sma10,qqq_primary,1.503600,1.503600,0.000000,46
qqq_close_to_sma20,qqq_primary,1.503600,1.503600,0.000000,47
qqq_close_to_sma50,qqq_primary,1.503600,1.503600,0.000000,48
qqq_close_to_sma100,qqq_primary,1.503600,1.503600,0.000000,49
qqq_close_to_sma200,qqq_primary,1.503600,1.503600,0.000000,50
qqq_rsi14,qqq_primary,1.503600,1.503600,0.000000,51
qqq_rsi28,qqq_primary,1.503600,1.503600,0.000000,52
qqq_macd_norm,qqq_primary,1.503600,1.503600,0.000000,53
qqq_macd_hist_norm,qqq_primary,1.503600,1.503600,0.000000,54
qqq_bb_z20,qqq_primary,1.503600,1.503600,0.000000,55
qqq_stoch_k14,qqq_primary,1.503600,1.503600,0.000000,56
qqq_williams_r14,qqq_primary,1.503600,1.503600,0.000000,57
qqq_natr14,qqq_primary,1.503600,1.503600,0.000000,58
qqq_park_vol_5d,qqq_primary,1.503600,1.503600,0.000000,59
qqq_park_vol_20d,qqq_primary,1.503600,1.503600,0.000000,60
qqq_gk_vol_20d,qqq_primary,1.503600,1.503600,0.000000,61
qqq_yz_vol_20d,qqq_primary,1.503600,1.503600,0.000000,62
qqq_yz_vol_60d,qqq_primary,1.503600,1.503600,0.000000,63
qqq_donchian_pos20,qqq_primary,1.503600,1.503600,0.000000,64
qqq_donchian_pos50,qqq_primary,1.503600,1.503600,0.000000,65
qqq_donchian_pos252,qqq_primary,1.503600,1.503600,0.000000,66
qqq_dist_52w_high,qqq_primary,1.503600,1.503600,0.000000,67
qqq_dist_52w_low,qqq_primary,1.503600,1.503600,0.000000,68
qqq_mom_3m,qqq_primary,1.503600,1.503600,0.000000,69
qqq_mom_6m,qqq_primary,1.503600,1.503600,0.000000,70
qqq_mom_9m,qqq_primary,1.503600,1.503600,0.000000,71
qqq_mom_12m,qqq_primary,1.503600,1.503600,0.000000,72
qqq_mom_12_1,qqq_primary,1.503600,1.503600,0.000000,73
qqq_mom_12_2,qqq_primary,1.503600,1.503600,0.000000,74
qqq_rev_1w,qqq_primary,1.503600,1.503600,0.000000,75
qqq_rev_1m,qqq_primary,1.503600,1.503600,0.000000,76
qqq_max_1m_ret,qqq_primary,1.503600,1.503600,0.000000,77
qqq_vol_z20,qqq_primary,1.503600,1.503600,0.000000,78
qqq_vol_z60,qqq_primary,1.503600,1.503600,0.000000,79
qqq_amihud_20d,qqq_primary,1.503600,1.503600,0.000000,80
qqq_obv_z60,qqq_primary,1.503600,1.503600,0.000000,81
xlk_logret_1d,sectors,1.503600,1.503600,0.000000,82
xlk_logret_5d,sectors,1.503600,1.503600,0.000000,83
xlk_logret_20d,sectors,1.503600,1.503600,0.000000,84
xlk_ma20_z,sectors,1.503600,1.503600,0.000000,85
xlf_logret_1d,sectors,1.503600,1.503600,0.000000,86
xlf_logret_5d,sectors,1.503600,1.503600,0.000000,87
xlv_logret_1d,sectors,1.503600,1.503600,0.000000,88
xlv_logret_5d,sectors,1.503600,1.503600,0.000000,89
xlv_ma20_z,sectors,1.503600,1.503600,0.000000,90
xly_logret_1d,sectors,1.503600,1.503600,0.000000,91
xly_logret_5d,sectors,1.503600,1.503600,0.000000,92
xly_logret_20d,sectors,1.503600,1.503600,0.000000,93
xly_ma20_z,sectors,1.503600,1.503600,0.000000,94
xlp_logret_1d,sectors,1.503600,1.503600,0.000000,95
xle_logret_1d,sectors,1.503600,1.503600,0.000000,96
xle_logret_5d,sectors,1.503600,1.503600,0.000000,97
xle_logret_20d,sectors,1.503600,1.503600,0.000000,98
xle_ma20_z,sectors,1.503600,1.503600,0.000000,99
xli_logret_1d,sectors,1.503600,1.503600,0.000000,100
xli_logret_5d,sectors,1.503600,1.503600,0.000000,101
xli_logret_20d,sectors,1.503600,1.503600,0.000000,102
xli_ma20_z,sectors,1.503600,1.503600,0.000000,103
xlu_logret_1d,sectors,1.503600,1.503600,0.000000,104
xlb_logret_1d,sectors,1.503600,1.503600,0.000000,105
xlb_ma20_z,sectors,1.503600,1.503600,0.000000,106
vix_logret_1d,volatility_regime,1.503600,1.503600,0.000000,107
vxn,volatility_regime,1.503600,1.503600,0.000000,108
vxn_logret_1d,volatility_regime,1.503600,1.503600,0.000000,109
vxn_logret_5d,volatility_regime,1.503600,1.503600,0.000000,110
vxn_z60,volatility_regime,1.503600,1.503600,0.000000,111
move,volatility_regime,1.503600,1.503600,0.000000,112
move_over_vix,volatility_regime,1.503600,1.503600,0.000000,113
vix_over_vix3m,volatility_regime,1.503600,1.503600,0.000000,114
vvix_over_vix,volatility_regime,1.503600,1.503600,0.000000,115
skew,volatility_regime,1.503600,1.503600,0.000000,116
skew_change_5d,volatility_regime,1.503600,1.503600,0.000000,117
vrp_proxy,volatility_regime,1.503600,1.503600,0.000000,118
yld_10y,yields_curve,1.503600,1.503600,0.000000,119
yld_10y_5d,yields_curve,1.503600,1.503600,0.000000,120
yld_10y_20d,yields_curve,1.503600,1.503600,0.000000,121
yld_5y,yields_curve,1.503600,1.503600,0.000000,122
yld_30y,yields_curve,1.503600,1.503600,0.000000,123
yld_3m,yields_curve,1.503600,1.503600,0.000000,124
term_10y_3m,yields_curve,1.503600,1.503600,0.000000,125
term_10y_5y,yields_curve,1.503600,1.503600,0.000000,126
term_30y_10y,yields_curve,1.503600,1.503600,0.000000,127
tlt_logret_5d,bonds_credit,1.503600,1.503600,0.000000,128
tlt_logret_20d,bonds_credit,1.503600,1.503600,0.000000,129
ief_logret_5d,bonds_credit,1.503600,1.503600,0.000000,130
ief_logret_20d,bonds_credit,1.503600,1.503600,0.000000,131
shy_logret_5d,bonds_credit,1.503600,1.503600,0.000000,132
tip_logret_5d,bonds_credit,1.503600,1.503600,0.000000,133
tip_logret_20d,bonds_credit,1.503600,1.503600,0.000000,134
