date,vote_sum,actual_ret_1d,position,pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,1,-0.000064,0.000000,-0.000000,-0.000000,-0.000064
2025-12-26,-1,-0.004852,-1.000000,0.004852,0.004852,-0.004916
2025-12-29,-1,-0.002322,-1.000000,0.002322,0.007174,-0.007238
2025-12-30,-1,-0.008300,-1.000000,0.008300,0.015474,-0.015538
2025-12-31,1,-0.001939,0.000000,-0.000000,0.015474,-0.017477
2026-01-02,5,0.007912,0.000000,0.000000,0.015474,-0.009565
2026-01-05,1,0.008748,0.000000,0.000000,0.015474,-0.000817
2026-01-06,1,0.000962,0.000000,0.000000,0.015474,0.000145
2026-01-07,3,-0.005705,0.000000,-0.000000,0.015474,-0.005560
2026-01-08,5,0.009911,1.000000,0.009911,0.025385,0.004351
2026-01-09,5,0.000829,1.000000,0.000829,0.026214,0.005180
2026-01-12,5,-0.001484,1.000000,-0.001484,0.024730,0.003696
2026-01-13,5,-0.010740,0.000000,-0.000000,0.024730,-0.007044
2026-01-14,5,0.003593,1.000000,0.003593,0.028323,-0.003451
2026-01-15,5,-0.000837,0.000000,-0.000000,0.028323,-0.004288
2026-01-16,5,-0.021476,0.000000,-0.000000,0.028323,-0.025764
2026-01-20,3,0.013428,0.000000,0.000000,0.028323,-0.012336
2026-01-21,3,0.007243,1.000000,0.007243,0.035566,-0.005093
2026-01-22,1,0.003152,1.000000,0.003152,0.038718,-0.001941
2026-01-23,3,0.004390,1.000000,0.004390,0.043108,0.002449
2026-01-26,1,0.009024,1.000000,0.009024,0.052132,0.011473
2026-01-27,5,0.003306,1.000000,0.003306,0.055438,0.014779
2026-01-28,5,-0.006003,1.000000,-0.006003,0.049435,0.008776
2026-01-29,-1,-0.012084,-1.000000,0.012084,0.061519,-0.003308
2026-01-30,3,0.006843,1.000000,0.006843,0.068362,0.003535
2026-02-02,1,-0.015483,0.000000,-0.000000,0.068362,-0.011948
2026-02-03,1,-0.017623,0.000000,-0.000000,0.068362,-0.029571
2026-02-04,1,-0.014500,0.000000,-0.000000,0.068362,-0.044071
2026-02-05,3,0.020918,0.000000,0.000000,0.068362,-0.023153
2026-02-06,3,0.007631,0.000000,0.000000,0.068362,-0.015522
2026-02-09,1,-0.004650,0.000000,-0.000000,0.068362,-0.020172
2026-02-10,3,0.002678,0.000000,0.000000,0.068362,-0.017494
2026-02-11,-1,-0.020549,-1.000000,0.020549,0.088911,-0.038043
2026-02-12,-1,0.002129,-1.000000,-0.002129,0.086782,-0.035914
2026-02-13,-3,-0.001031,-1.000000,0.001031,0.087813,-0.036945
2026-02-17,3,0.007439,0.000000,0.000000,0.087813,-0.029506
2026-02-18,-3,-0.003837,-1.000000,0.003837,0.091650,-0.033343
2026-02-19,1,0.008810,0.000000,0.000000,0.091650,-0.024533
2026-02-20,5,-0.012229,0.000000,-0.000000,0.091650,-0.036762
2026-02-23,5,0.010684,0.000000,0.000000,0.091650,-0.026078
2026-02-24,5,0.014389,1.000000,0.014389,0.106039,-0.011689
2026-02-25,5,-0.012138,0.000000,-0.000000,0.106039,-0.023827
2026-02-26,5,-0.003206,0.000000,-0.000000,0.106039,-0.027033
2026-02-27,1,0.001316,0.000000,0.000000,0.106039,-0.025717
2026-03-02,5,-0.010763,0.000000,-0.000000,0.106039,-0.036480
2026-03-03,1,0.015128,0.000000,0.000000,0.106039,-0.021352
2026-03-04,-1,-0.003017,-1.000000,0.003017,0.109056,-0.024369
2026-03-05,-1,-0.015158,-1.000000,0.015158,0.124214,-0.039527
2026-03-06,-1,0.013267,-1.000000,-0.013267,0.110947,-0.026260
2026-03-09,-3,0.000016,-1.000000,-0.000016,0.110931,-0.026244
2026-03-10,5,-0.000132,0.000000,-0.000000,0.110931,-0.026376
2026-03-11,-1,-0.017312,-1.000000,0.017312,0.128243,-0.043688
2026-03-12,3,-0.005945,0.000000,-0.000000,0.128243,-0.049633
2026-03-13,5,0.011155,0.000000,0.000000,0.128243,-0.038478
2026-03-16,5,0.004868,0.000000,0.000000,0.128243,-0.033610
2026-03-17,5,-0.014038,0.000000,-0.000000,0.128243,-0.047648
2026-03-18,3,-0.003165,0.000000,-0.000000,0.128243,-0.050813
2026-03-19,-1,-0.018655,-1.000000,0.018655,0.146898,-0.069468
2026-03-20,3,0.011414,0.000000,0.000000,0.146898,-0.058054
2026-03-23,3,-0.006860,0.000000,-0.000000,0.146898,-0.064914
2026-03-24,3,0.006554,0.000000,0.000000,0.146898,-0.058360
2026-03-25,3,-0.024157,0.000000,-0.000000,0.146898,-0.082517
2026-03-26,5,-0.019730,0.000000,-0.000000,0.146898,-0.102247
2026-03-27,3,-0.007673,0.000000,-0.000000,0.146898,-0.109920
2026-03-30,5,0.033293,0.000000,0.000000,0.146898,-0.076627
2026-03-31,5,0.012277,0.000000,0.000000,0.146898,-0.064350
2026-04-01,3,0.001146,0.000000,0.000000,0.146898,-0.063204
2026-04-02,3,0.005999,0.000000,0.000000,0.146898,-0.057205
2026-04-06,3,0.000153,0.000000,0.000000,0.146898,-0.057052
2026-04-07,1,0.029299,1.000000,0.029299,0.176197,-0.027753
2026-04-08,3,0.006742,1.000000,0.006742,0.182939,-0.021011
2026-04-09,5,0.001441,1.000000,0.001441,0.184380,-0.019570
2026-04-10,5,0.010289,1.000000,0.010289,0.194669,-0.009281
2026-04-13,5,0.017994,1.000000,0.017994,0.212663,0.008713
2026-04-14,3,0.013902,1.000000,0.013902,0.226565,0.022615
2026-04-15,-1,0.004805,-1.000000,-0.004805,0.221760,0.027420
2026-04-16,3,0.012999,1.000000,0.012999,0.234759,0.040419
2026-04-17,1,-0.003180,1.000000,-0.003180,0.231579,0.037239
2026-04-20,1,-0.003811,1.000000,-0.003811,0.227768,0.033428
2026-04-21,5,0.016592,1.000000,0.016592,0.244360,0.050020
2026-04-22,5,-0.005649,1.000000,-0.005649,0.238711,0.044371
