date,pred_ret_1d,pred_ret_5d,logvar_1d,logvar_5d,confidence,pred_direction,actual_ret_1d,actual_ret_5d,actual_direction_1d,correct_1d,strategy_pnl_1d,cumulative_pnl,cumulative_buy_hold
2025-12-01,-0.008983,-0.003468,0.174280,0.331852,0.840061,-1,0.007796,0.011455,1,0,-0.007796,-0.007796,0.007796
2025-12-02,-0.007448,0.000576,0.172271,0.332247,0.841751,-1,0.002441,0.004892,1,0,-0.002441,-0.010237,0.010237
2025-12-03,-0.004057,-0.001311,0.172015,0.336353,0.841966,-1,-0.000931,0.006538,-1,1,0.000931,-0.009306,0.009306
2025-12-04,-0.005155,-0.002253,0.170937,0.337985,0.842875,-1,0.004069,0.004229,1,0,-0.004069,-0.013375,0.013375
2025-12-05,0.000394,-0.004580,0.175052,0.340509,0.839414,1,-0.001920,-0.019143,-1,0,-0.001920,-0.015295,0.011455
2025-12-08,-0.009057,-0.005509,0.174280,0.347930,0.840062,-1,0.001233,-0.022255,1,0,-0.001233,-0.016528,0.012688
2025-12-09,-0.002374,-0.010705,0.174918,0.346147,0.839526,-1,0.004087,-0.021508,1,0,-0.004087,-0.020615,0.016775
2025-12-10,-0.000570,0.002902,0.196330,0.359048,0.821741,-1,-0.003240,-0.044306,-1,1,0.003240,-0.017375,0.013535
2025-12-11,-0.004882,0.001281,0.180960,0.339949,0.834468,-1,-0.019303,-0.026680,-1,1,0.019303,0.001928,-0.005768
2025-12-12,0.013155,0.028273,0.157023,0.325148,0.854684,1,-0.005032,0.005574,-1,0,-0.005032,-0.003104,-0.010800
2025-12-15,0.012888,0.019463,0.161790,0.344607,0.850620,1,0.001980,0.015388,1,1,0.001980,-0.001124,-0.008820
2025-12-16,0.017239,0.012028,0.147580,0.345698,0.862794,1,-0.018711,0.018081,-1,0,-0.018711,-0.019835,-0.027531
2025-12-17,0.014665,0.009434,0.144570,0.341620,0.865394,1,0.014386,0.039713,1,1,0.014386,-0.005449,-0.013145
2025-12-18,0.005158,-0.009256,0.160434,0.331084,0.851774,1,0.012951,0.025263,1,1,0.012951,0.007502,-0.000194
2025-12-19,-0.007352,-0.004846,0.194611,0.340957,0.823155,-1,0.004782,0.007459,1,0,-0.004782,0.002720,0.004588
2025-12-22,-0.006832,-0.004335,0.196592,0.338869,0.821526,-1,0.004672,0.000355,1,0,-0.004672,-0.001952,0.009260
2025-12-23,-0.007718,-0.011582,0.184971,0.344085,0.831129,-1,0.002921,-0.012617,1,0,-0.002921,-0.004873,0.012181
2025-12-24,-0.002178,0.001047,0.184444,0.340112,0.831567,-1,-0.000064,-0.017478,-1,1,0.000064,-0.004809,0.012117
2025-12-26,-0.011100,-0.001172,0.181605,0.349907,0.833930,-1,-0.004852,-0.009502,-1,1,0.004852,0.000043,0.007265
2025-12-29,0.000441,0.017444,0.189825,0.326647,0.827104,1,-0.002322,0.004099,-1,0,-0.002322,-0.002279,0.004943
2025-12-30,-0.000377,0.003384,0.176013,0.355902,0.838607,-1,-0.008300,0.007383,-1,1,0.008300,0.006021,-0.003357
2025-12-31,0.008852,0.005000,0.181654,0.330492,0.833890,1,-0.001939,0.009978,-1,0,-0.001939,0.004082,-0.005296
2026-01-02,-0.001430,0.009549,0.187920,0.349497,0.828681,-1,0.007912,0.021827,1,0,-0.007912,-0.003830,0.002616
2026-01-05,-0.005772,0.004361,0.180300,0.348478,0.835020,-1,0.008748,0.014745,1,0,-0.008748,-0.012578,0.011364
2026-01-06,-0.008420,0.002343,0.168163,0.346067,0.845216,-1,0.000962,0.004513,1,0,-0.000962,-0.013540,0.012326
2026-01-07,-0.008139,-0.009814,0.160156,0.342159,0.852011,-1,-0.005705,-0.007189,-1,1,0.005705,-0.007835,0.006621
2026-01-08,-0.008854,0.001371,0.173400,0.334798,0.840801,-1,0.009911,0.002109,1,0,-0.009911,-0.017746,0.016532
2026-01-09,-0.010748,-0.011540,0.166712,0.339630,0.846443,-1,0.000829,-0.008638,1,0,-0.000829,-0.018575,0.017361
2026-01-12,-0.009079,-0.007741,0.180209,0.342205,0.835096,-1,-0.001484,-0.030944,-1,1,0.001484,-0.017091,0.015877
2026-01-13,-0.009936,-0.000517,0.173379,0.340562,0.840819,-1,-0.010740,-0.016032,-1,1,0.010740,-0.006351,0.005137
2026-01-14,-0.010752,0.008092,0.172224,0.364789,0.841790,-1,0.003593,0.001951,1,0,-0.003593,-0.009944,0.008730
2026-01-15,-0.012946,0.015310,0.179411,0.343401,0.835762,-1,-0.000837,0.001511,-1,1,0.000837,-0.009107,0.007893
2026-01-16,-0.006455,0.020640,0.196072,0.356660,0.821953,-1,-0.021476,0.006738,-1,1,0.021476,0.012369,-0.013583
2026-01-20,-0.010348,0.009109,0.146385,0.352745,0.863825,-1,0.013428,0.037238,1,0,-0.013428,-0.001059,-0.000155
2026-01-21,-0.019530,0.003560,0.167103,0.339805,0.846113,-1,0.007243,0.027116,1,0,-0.007243,-0.008302,0.007088
2026-01-22,-0.027193,0.001133,0.210694,0.347921,0.810022,-1,0.003152,0.013870,1,0,-0.003152,-0.011454,0.010240
2026-01-23,-0.021215,0.008665,0.197418,0.344262,0.820847,-1,0.004390,-0.001366,1,0,-0.004390,-0.015844,0.014630
2026-01-26,-0.021078,-0.012315,0.174046,0.352186,0.840259,-1,0.009024,0.001087,1,0,-0.009024,-0.024868,0.023654
2026-01-27,0.000472,0.014439,0.172290,0.329440,0.841735,1,0.003306,-0.023421,1,1,0.003306,-0.021562,0.026960
2026-01-28,-0.008317,-0.013097,0.176392,0.340559,0.838290,-1,-0.006003,-0.044350,-1,1,0.006003,-0.015559,0.020957
2026-01-29,-0.011346,-0.004345,0.177634,0.324933,0.837249,-1,-0.012084,-0.052847,-1,1,0.012084,-0.003475,0.008873
