date,pred_ret_1d,pred_ret_5d,logvar_1d,logvar_5d,confidence,pred_direction,actual_ret_1d,actual_ret_5d,actual_direction_1d,correct_1d,strategy_pnl_1d,cumulative_pnl,cumulative_buy_hold
2026-01-30,0.011672,0.015221,0.158702,0.256940,0.853251,1,0.006843,-0.019846,1,1,0.006843,0.003368,0.015716
2026-02-02,0.006492,0.014289,0.198424,0.347639,0.820022,1,-0.015483,-0.019058,-1,0,-0.015483,-0.012115,0.000233
2026-02-03,-0.003595,0.002806,0.159661,0.346745,0.852432,-1,-0.017623,-0.008225,-1,1,0.017623,0.005508,-0.017390
2026-02-04,-0.003362,0.007863,0.160620,0.352611,0.851615,-1,-0.014500,0.012077,-1,1,0.014500,0.020008,-0.031890
2026-02-05,0.003158,0.009830,0.167314,0.348725,0.845934,1,0.020918,0.006028,1,1,0.020918,0.040926,-0.010972
2026-02-06,-0.017702,0.003729,0.174954,0.363349,0.839496,-1,0.007631,-0.012760,1,0,-0.007631,0.033295,-0.003341
2026-02-09,-0.023803,0.016955,0.190824,0.383975,0.826278,-1,-0.004650,-0.021422,-1,1,0.004650,0.037945,-0.007991
2026-02-10,-0.015669,0.021821,0.166710,0.343909,0.846445,-1,0.002678,-0.009333,1,0,-0.002678,0.035267,-0.005313
2026-02-11,-0.022330,0.008764,0.175751,0.336399,0.838827,-1,-0.020549,-0.015848,-1,1,0.020549,0.055816,-0.025862
2026-02-12,0.016885,0.025312,0.146496,0.283623,0.863730,1,0.002129,0.013511,1,1,0.002129,0.057945,-0.023733
2026-02-13,-0.032275,0.011814,0.168818,0.316561,0.844663,-1,-0.001031,-0.000848,-1,1,0.001031,0.058976,-0.024764
2026-02-17,0.008121,0.003712,0.176375,0.325871,0.838303,1,0.007439,0.010867,1,1,0.007439,0.066415,-0.017325
2026-02-18,-0.023800,-0.007201,0.170415,0.329008,0.843315,-1,-0.003837,0.017817,-1,1,0.003837,0.070252,-0.021162
2026-02-19,-0.017287,-0.014992,0.171103,0.332513,0.842734,-1,0.008810,0.009516,1,0,-0.008810,0.061442,-0.012352
2026-02-20,-0.022814,-0.002536,0.169552,0.323308,0.844043,-1,-0.012229,-0.002500,-1,1,0.012229,0.073671,-0.024581
2026-02-23,-0.002521,0.015043,0.157523,0.321440,0.854257,-1,0.010684,0.011046,1,0,-0.010684,0.062987,-0.013897
2026-02-24,-0.008406,0.009161,0.152314,0.323953,0.858719,-1,0.014389,-0.010401,1,0,-0.014389,0.048598,0.000492
2026-02-25,-0.011902,0.009330,0.183239,0.342215,0.832569,-1,-0.012138,-0.009662,-1,1,0.012138,0.060736,-0.011646
2026-02-26,0.013062,0.024684,0.170291,0.322982,0.843419,1,-0.003206,-0.000542,-1,0,-0.003206,0.057530,-0.014852
2026-02-27,-0.006040,0.016000,0.171036,0.340362,0.842791,-1,0.001316,-0.012494,1,0,-0.001316,0.056214,-0.013536
2026-03-02,-0.015992,-0.018559,0.149886,0.320867,0.860806,-1,-0.010763,-0.000543,-1,1,0.010763,0.066977,-0.024299
2026-03-03,-0.013453,-0.012413,0.149977,0.330248,0.860728,-1,0.015128,0.010237,1,0,-0.015128,0.051849,-0.009171
2026-03-04,-0.017938,-0.019634,0.165939,0.317881,0.847098,-1,-0.003017,-0.005023,-1,1,0.003017,0.054866,-0.012188
2026-03-05,-0.012128,-0.006678,0.145273,0.297986,0.864787,-1,-0.015158,-0.019318,-1,1,0.015158,0.070024,-0.027346
2026-03-06,-0.010613,-0.022393,0.136168,0.277711,0.872696,-1,0.013267,-0.010105,1,0,-0.013267,0.056757,-0.014079
2026-03-09,-0.013099,-0.034786,0.155661,0.301453,0.855849,-1,0.000016,-0.012217,1,0,-0.000016,0.056741,-0.014063
2026-03-10,0.000340,-0.015847,0.152115,0.337156,0.858889,1,-0.000132,-0.007365,-1,0,-0.000132,0.056609,-0.014195
2026-03-11,-0.007683,-0.033460,0.149697,0.316002,0.860969,-1,-0.017312,-0.021272,-1,1,0.017312,0.073921,-0.031507
2026-03-12,-0.016058,-0.032187,0.150159,0.319606,0.860571,-1,-0.005945,-0.007124,-1,1,0.005945,0.079866,-0.037452
2026-03-13,-0.012001,-0.024125,0.163079,0.328572,0.849524,-1,0.011155,-0.019834,1,0,-0.011155,0.068711,-0.026297
2026-03-16,-0.018807,-0.022055,0.165195,0.338004,0.847728,-1,0.004868,-0.019576,1,0,-0.004868,0.063843,-0.021429
2026-03-17,-0.002628,-0.040087,0.148427,0.318002,0.862063,-1,-0.014038,-0.031304,-1,1,0.014038,0.077881,-0.035467
2026-03-18,-0.011594,-0.037900,0.170502,0.326886,0.843241,-1,-0.003165,-0.010713,-1,1,0.003165,0.081046,-0.038632
2026-03-19,-0.021364,0.007332,0.170037,0.293459,0.843634,-1,-0.018655,-0.031705,-1,1,0.018655,0.099701,-0.057287
2026-03-20,-0.011912,-0.002601,0.172339,0.328409,0.841694,-1,0.011414,-0.032780,1,0,-0.011414,0.088287,-0.045873
2026-03-23,-0.012904,0.013694,0.162421,0.307532,0.850083,-1,-0.006860,-0.051866,-1,1,0.006860,0.095147,-0.052733
2026-03-24,-0.002087,0.013267,0.171780,0.319536,0.842164,-1,0.006554,-0.011713,1,0,-0.006554,0.088593,-0.046179
2026-03-25,-0.007541,0.015708,0.180650,0.327034,0.834728,-1,-0.024157,-0.005989,-1,1,0.024157,0.112750,-0.070336
2026-03-26,0.002665,0.009815,0.166567,0.318763,0.846566,1,-0.019730,0.019314,-1,0,-0.019730,0.093020,-0.090066
2026-03-27,-0.006540,-0.000769,0.171779,0.339644,0.842165,-1,-0.007673,0.045044,-1,1,0.007673,0.100693,-0.097739
2026-03-30,0.007156,0.008341,0.171670,0.337197,0.842257,1,0.033293,0.052869,1,1,0.033293,0.133986,-0.064446
2026-03-31,-0.015443,-0.001834,0.191350,0.333613,0.825844,-1,0.012277,0.048874,1,0,-0.012277,0.121709,-0.052169
2026-04-01,-0.013837,-0.005773,0.205302,0.333671,0.814401,-1,0.001146,0.043339,1,0,-0.001146,0.120563,-0.051023
2026-04-02,0.011052,0.007975,0.173180,0.326174,0.840986,1,0.005999,0.043634,1,1,0.005999,0.126562,-0.045024
2026-04-06,0.000645,0.015089,0.180713,0.342566,0.834675,1,0.000153,0.047924,1,1,0.000153,0.126715,-0.044871
2026-04-07,0.002744,0.011782,0.179190,0.334655,0.835947,1,0.029299,0.065765,1,1,0.029299,0.156014,-0.015572
2026-04-08,-0.004310,0.016591,0.187396,0.353108,0.829115,-1,0.006742,0.050369,1,0,-0.006742,0.149272,-0.008830
2026-04-09,0.005396,0.012832,0.186926,0.337844,0.829505,1,0.001441,0.048432,1,1,0.001441,0.150713,-0.007389
2026-04-10,0.004228,0.019083,0.186844,0.337660,0.829573,1,0.010289,0.059990,1,1,0.010289,0.161002,0.002900
2026-04-13,-0.001785,0.017489,0.186666,0.342849,0.829721,-1,0.017994,0.046521,1,0,-0.017994,0.143008,0.020894
2026-04-14,-0.002930,0.013293,0.186611,0.340231,0.829766,-1,0.013902,0.024716,1,0,-0.013902,0.129106,0.034796
2026-04-15,0.001152,0.009578,0.182463,0.338050,0.833216,1,0.004805,0.027406,1,1,0.004805,0.133911,0.039601
2026-04-16,-0.001556,0.014511,0.182497,0.339257,0.833187,-1,0.012999,0.016952,1,0,-0.012999,0.120912,0.052600
2026-04-17,-0.008051,0.008346,0.184585,0.340648,0.831450,-1,-0.003180,0.022900,-1,1,0.003180,0.124092,0.049420
2026-04-20,-0.014761,0.005721,0.180381,0.346111,0.834952,-1,-0.003811,0.026607,-1,1,0.003811,0.127903,0.045609
2026-04-21,-0.005451,0.010712,0.182308,0.342366,0.833345,-1,0.016592,0.020310,1,0,-0.016592,0.111311,0.062201
2026-04-22,0.001803,0.004483,0.191234,0.341333,0.825939,1,-0.005649,0.009813,-1,0,-0.005649,0.105662,0.056552
2026-04-23,0.008525,0.029675,0.207313,0.336543,0.812765,1,,,0,0,,0.105662,0.056552
2026-04-24,0.001817,0.019296,0.193082,0.347441,0.824415,1,,,0,0,,0.105662,0.056552
2026-04-27,-0.002955,0.021236,0.201455,0.349833,0.817540,-1,,,0,0,,0.105662,0.056552
2026-04-28,0.013305,0.008860,0.210042,0.348272,0.810550,1,,,0,0,,0.105662,0.056552
2026-04-29,0.017661,-0.004137,0.192947,0.339302,0.824526,1,,,0,0,,0.105662,0.056552
