date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-01-23,fold_1,Pre-crisis upturn + GFC onset,0.00021147455845493823,1,0.009706642478704453,1,0.009706642478704453,0.009706616401672363,,,,1,97.06642478704453
2008-01-24,fold_1,Pre-crisis upturn + GFC onset,0.0018816713709384203,1,-0.006706463638693094,-1,-0.006706463638693094,0.002935051918029785,,,,0,-67.06463638693094
2008-01-25,fold_1,Pre-crisis upturn + GFC onset,0.0008349732379429042,1,0.007704523392021656,1,0.007704523392021656,0.010662198066711426,,,,1,77.04523392021656
2008-01-28,fold_1,Pre-crisis upturn + GFC onset,-0.0022085020318627357,-1,-0.001093094702810049,-1,0.001093094702810049,0.011767029762268066,,,,1,10.93094702810049
2008-01-29,fold_1,Pre-crisis upturn + GFC onset,0.0011916079092770815,1,0.004004329908639193,1,0.004004329908639193,0.015818476676940918,,,,1,40.043299086391926
2008-01-30,fold_1,Pre-crisis upturn + GFC onset,0.0015687025152146816,1,0.002289247466251254,1,0.002289247466251254,0.01814401149749756,,,,1,22.89247466251254
2008-01-31,fold_1,Pre-crisis upturn + GFC onset,-0.0008493842324241996,-1,-0.004380703438073397,-1,0.004380703438073397,0.02260422706604004,,,,1,43.80703438073397
2008-02-01,fold_1,Pre-crisis upturn + GFC onset,-0.0033278577029705048,-1,0.001897936686873436,1,-0.001897936686873436,0.02066338062286377,,,,0,-18.97936686873436
2008-02-04,fold_1,Pre-crisis upturn + GFC onset,-0.000998730887658894,-1,-0.012808330357074738,-1,0.012808330357074738,0.033736348152160645,,,,1,128.08330357074738
2008-02-05,fold_1,Pre-crisis upturn + GFC onset,-0.0033282910007983446,-1,-0.0014324913499876857,-1,0.0014324913499876857,0.03521716594696045,,,,1,14.324913499876857
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,-0.002177004935219884,-1,-0.009454712271690369,-1,0.009454712271690369,0.045004844665527344,,,,1,94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,-0.002767831552773714,-1,0.07542583346366882,1,-0.07542583346366882,-0.03381556272506714,,,,0,-754.2583346366882
2008-02-08,fold_1,Pre-crisis upturn + GFC onset,-0.02523147687315941,-1,-0.06865246593952179,-1,0.06865246593952179,0.03251540660858154,,,,1,686.5246593952179
2008-02-12,fold_1,Pre-crisis upturn + GFC onset,-0.0035190782509744167,-1,-0.0017758844187483191,-1,0.0017758844187483191,0.03434896469116211,,,,1,17.75884418748319
2008-02-13,fold_1,Pre-crisis upturn + GFC onset,-0.004189620725810528,-1,0.006048077251762152,1,-0.006048077251762152,0.02809309959411621,,,,0,-60.48077251762152
