date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-01-23,fold_1,Pre-crisis upturn + GFC onset,-0.0008059433894231915,-1,0.009706642478704453,1,-0.009706642478704453,-0.009706616401672363,0.9999443292617798,1.854253605415579e-05,3.708507210831158e-05,0,-97.06642478704453
2008-01-24,fold_1,Pre-crisis upturn + GFC onset,0.0016662472626194358,1,-0.006706463638693094,-1,-0.006706463638693094,-0.01634800434112549,0.9999402761459351,1.991567842196673e-05,3.983135684393346e-05,0,-67.06463638693094
2008-01-25,fold_1,Pre-crisis upturn + GFC onset,0.00039860588731244206,1,0.007704523392021656,1,0.007704523392021656,-0.008769452571868896,0.9999675750732422,1.0820985153259244e-05,2.1641970306518488e-05,1,77.04523392021656
2008-01-28,fold_1,Pre-crisis upturn + GFC onset,-0.004318129271268845,-1,-0.001093094702810049,-1,0.001093094702810049,-0.00768589973449707,0.9999274015426636,2.417816358502023e-05,4.835632717004046e-05,1,10.93094702810049
2008-01-29,fold_1,Pre-crisis upturn + GFC onset,0.003447659080848098,1,0.004004329908639193,1,0.004004329908639193,-0.003712296485900879,0.9999594688415527,1.3515830687538255e-05,2.703166137507651e-05,1,40.043299086391926
2008-01-30,fold_1,Pre-crisis upturn + GFC onset,-0.0019526664400473237,-1,0.002289247466251254,1,-0.002289247466251254,-0.005993008613586426,0.9999701976776123,9.93801950244233e-06,1.987603900488466e-05,0,-22.89247466251254
2008-01-31,fold_1,Pre-crisis upturn + GFC onset,-0.008760937489569187,-1,-0.004380703438073397,-1,0.004380703438073397,-0.0016385316848754883,0.9999542236328125,1.5240240827552043e-05,3.0480481655104086e-05,1,43.80703438073397
2008-02-01,fold_1,Pre-crisis upturn + GFC onset,0.0014578058617189527,1,0.001897936686873436,1,0.001897936686873436,0.0002562999725341797,0.9999006986618042,3.309589374111965e-05,6.61917874822393e-05,1,18.97936686873436
2008-02-04,fold_1,Pre-crisis upturn + GFC onset,-0.0022273880895227194,-1,-0.012808330357074738,-1,0.012808330357074738,0.013067960739135742,0.9999411106109619,1.9632410840131342e-05,3.9264821680262685e-05,1,128.08330357074738
2008-02-05,fold_1,Pre-crisis upturn + GFC onset,-0.00792031642049551,-1,-0.0014324913499876857,-1,0.0014324913499876857,0.014519214630126953,0.9999438524246216,1.8706037735682912e-05,3.7412075471365824e-05,1,14.324913499876857
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,0.0011967133032158017,1,-0.009454712271690369,-1,-0.009454712271690369,0.004927158355712891,0.9999085664749146,3.046565325348638e-05,6.093130650697276e-05,0,-94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,0.0021024185698479414,1,0.07542583346366882,1,0.07542583346366882,0.08072471618652344,0.9999468326568604,1.773503936419729e-05,3.547007872839458e-05,1,754.2583346366882
2008-02-08,fold_1,Pre-crisis upturn + GFC onset,-0.032089635729789734,-1,-0.06865246593952179,-1,0.06865246593952179,0.15491914749145508,0.9995511174201965,0.0001496932964073494,0.0002993865928146988,1,686.5246593952179
2008-02-12,fold_1,Pre-crisis upturn + GFC onset,0.004635632038116455,1,-0.0017758844187483191,-1,-0.0017758844187483191,0.1528681516647339,0.9998934268951416,3.5528479202184826e-05,7.105695840436965e-05,0,-17.75884418748319
2008-02-13,fold_1,Pre-crisis upturn + GFC onset,0.007897512055933475,1,0.006048077251762152,1,0.006048077251762152,0.15984082221984863,0.9999157190322876,2.8104943339712918e-05,5.6209886679425836e-05,1,60.48077251762152
2008-02-14,fold_1,Pre-crisis upturn + GFC onset,-0.0032444854732602835,-1,0.002186686033383012,1,-0.002186686033383012,0.1573045253753662,0.9998449087142944,5.1693321438506246e-05,0.00010338664287701249,0,-21.866860333830118
2008-02-15,fold_1,Pre-crisis upturn + GFC onset,0.002567685442045331,1,-0.0017726941732689738,-1,-0.0017726941732689738,0.15525293350219727,0.9998555183410645,4.8147030611289665e-05,9.629406122257933e-05,0,-17.72694173268974
2008-02-19,fold_1,Pre-crisis upturn + GFC onset,-0.016009552404284477,-1,-0.0004710935172624886,-1,0.0004710935172624886,0.15579724311828613,0.9998775720596313,4.079541758983396e-05,8.159083517966792e-05,1,4.710935172624886
2008-02-20,fold_1,Pre-crisis upturn + GFC onset,0.0011122560827061534,1,0.006251954939216375,1,0.006251954939216375,0.1630232334136963,0.9997972846031189,6.760659016435966e-05,0.00013521318032871932,1,62.51954939216375
2008-02-21,fold_1,Pre-crisis upturn + GFC onset,-0.01896730251610279,-1,0.0007413247367367148,1,-0.0007413247367367148,0.16216111183166504,0.9999004602432251,3.3192947739735246e-05,6.638589547947049e-05,0,-7.413247367367148
2008-02-22,fold_1,Pre-crisis upturn + GFC onset,0.00504833972081542,1,0.0006675262120552361,1,0.0006675262120552361,0.16293692588806152,0.9998770952224731,4.097824057680555e-05,8.19564811536111e-05,1,6.675262120552361
2008-02-25,fold_1,Pre-crisis upturn + GFC onset,0.016458192840218544,1,0.010797196999192238,1,0.010797196999192238,0.17549335956573486,0.9998795986175537,4.012847057310864e-05,8.025694114621729e-05,1,107.97196999192238
2008-02-26,fold_1,Pre-crisis upturn + GFC onset,-0.003986026626080275,-1,0.008133538998663425,1,-0.008133538998663425,0.16593241691589355,0.9998427629470825,5.2403047448024154e-05,0.00010480609489604831,0,-81.33538998663425
2008-02-27,fold_1,Pre-crisis upturn + GFC onset,-0.009595672599971294,-1,0.005151412915438414,1,-0.005151412915438414,0.15992629528045654,0.9998736381530762,4.212658677715808e-05,8.425317355431616e-05,0,-51.514129154384136
2008-02-28,fold_1,Pre-crisis upturn + GFC onset,-0.010731636546552181,-1,-0.00025825100601650774,-1,0.00025825100601650774,0.1602257490158081,0.9999045133590698,3.18453494401183e-05,6.36906988802366e-05,1,2.5825100601650774
2008-02-29,fold_1,Pre-crisis upturn + GFC onset,-0.013472074642777443,-1,0.0005320152267813683,1,-0.0005320152267813683,0.15960848331451416,0.9999030828475952,3.232077870052308e-05,6.464155740104616e-05,0,-5.320152267813683
2008-03-03,fold_1,Pre-crisis upturn + GFC onset,-0.0007815213757567108,-1,0.0006540778558701277,1,-0.0006540778558701277,0.15884995460510254,0.9999462366104126,1.7898330042953603e-05,3.5796660085907206e-05,0,-6.540778558701277
2008-03-04,fold_1,Pre-crisis upturn + GFC onset,-0.007379685994237661,-1,0.00439975643530488,1,-0.00439975643530488,0.15375125408172607,0.9999676942825317,1.0765150364022702e-05,2.1530300728045404e-05,0,-43.9975643530488
2008-03-05,fold_1,Pre-crisis upturn + GFC onset,-0.007347992155700922,-1,0.007077113725244999,1,-0.007077113725244999,0.1455860137939453,0.9999688863754272,1.0370892596256454e-05,2.0741785192512907e-05,0,-70.77113725244999
2008-03-06,fold_1,Pre-crisis upturn + GFC onset,-0.010847478173673153,-1,-0.00318984710611403,-1,0.00318984710611403,0.14924025535583496,0.9999598264694214,1.3399285307968967e-05,2.6798570615937933e-05,1,31.8984710611403
2008-03-07,fold_1,Pre-crisis upturn + GFC onset,-0.007584014441817999,-1,0.00032211976940743625,1,-0.00032211976940743625,0.14887011051177979,0.9999502897262573,1.655339110584464e-05,3.310678221168928e-05,0,-3.2211976940743625
2008-03-10,fold_1,Pre-crisis upturn + GFC onset,-0.007178473751991987,-1,6.13881929893978e-05,1,-6.13881929893978e-05,0.14879953861236572,0.9999680519104004,1.0646486771292984e-05,2.129297354258597e-05,0,-0.6138819298939779
2008-03-11,fold_1,Pre-crisis upturn + GFC onset,-0.0021524622570723295,-1,0.012913729064166546,1,-0.012913729064166546,0.13396430015563965,0.9999721050262451,9.303975275543053e-06,1.8607950551086105e-05,0,-129.13729064166546
2008-03-12,fold_1,Pre-crisis upturn + GFC onset,-0.004301663022488356,-1,0.005280183628201485,1,-0.005280183628201485,0.12797677516937256,0.9999452829360962,1.8223377992399037e-05,3.6446755984798074e-05,0,-52.80183628201485
2008-03-13,fold_1,Pre-crisis upturn + GFC onset,-0.0019331673393025994,-1,-0.0002654764102771878,-1,0.0002654764102771878,0.12827622890472412,0.9999717473983765,9.400850103702396e-06,1.8801700207404792e-05,1,2.6547641027718782
2008-03-14,fold_1,Pre-crisis upturn + GFC onset,-0.001768030459061265,-1,0.008330723270773888,1,-0.008330723270773888,0.11887693405151367,0.9999525547027588,1.582174991199281e-05,3.164349982398562e-05,0,-83.30723270773888
2008-03-17,fold_1,Pre-crisis upturn + GFC onset,-0.016363203525543213,-1,-0.00571519136428833,-1,0.00571519136428833,0.12527143955230713,0.9996448755264282,0.0001183972490252927,0.0002367944980505854,1,57.1519136428833
