date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,-0.002059836406260729,-1,-0.009454712271690369,-1,0.009454712271690369,0.009454727172851562,0.999943733215332,1.875119050964713e-05,3.750238101929426e-05,1,94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,-0.00865657813847065,-1,0.07542583346366882,1,-0.07542583346366882,-0.06668424606323242,0.9998757839202881,4.139797965763137e-05,8.279595931526273e-05,0,-754.2583346366882
2008-02-08,fold_1,Pre-crisis upturn + GFC onset,-0.03215722367167473,-1,-0.06865246593952179,-1,0.06865246593952179,-0.0026097893714904785,0.9998639822006226,4.5331125875236467e-05,9.066225175047293e-05,1,686.5246593952179
2008-02-12,fold_1,Pre-crisis upturn + GFC onset,-0.009414339438080788,-1,-0.0017758844187483191,-1,0.0017758844187483191,-0.0008385777473449707,0.9999024868011475,3.251204907428473e-05,6.502409814856946e-05,1,17.75884418748319
2008-02-13,fold_1,Pre-crisis upturn + GFC onset,-0.0027630410622805357,-1,0.006048077251762152,1,-0.006048077251762152,-0.006881594657897949,0.9998899698257446,3.665658732643351e-05,7.331317465286702e-05,0,-60.48077251762152
2008-02-14,fold_1,Pre-crisis upturn + GFC onset,-0.0009304972481913865,-1,0.002186686033383012,1,-0.002186686033383012,-0.009053289890289307,0.9998902082443237,3.6598365113604814e-05,7.319673022720963e-05,0,-21.866860333830118
2008-02-15,fold_1,Pre-crisis upturn + GFC onset,0.0013350429944694042,1,-0.0017726941732689738,-1,-0.0017726941732689738,-0.01080995798110962,0.9997628331184387,7.907098188297823e-05,0.00015814196376595646,0,-17.72694173268974
2008-02-19,fold_1,Pre-crisis upturn + GFC onset,-7.149596058297902e-05,-1,-0.0004710935172624886,-1,0.0004710935172624886,-0.01034390926361084,0.9996950626373291,0.0001016762325889431,0.0002033524651778862,1,4.710935172624886
2008-02-20,fold_1,Pre-crisis upturn + GFC onset,-0.004716618452221155,-1,0.006251954939216375,1,-0.006251954939216375,-0.016531169414520264,0.999808132648468,6.395899981725961e-05,0.00012791799963451922,0,-62.51954939216375
2008-02-21,fold_1,Pre-crisis upturn + GFC onset,-0.0043055033311247826,-1,0.0007413247367367148,1,-0.0007413247367367148,-0.017260193824768066,0.9998021721839905,6.59758661640808e-05,0.0001319517323281616,0,-7.413247367367148
