date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-01-23,fold_1,Pre-crisis upturn + GFC onset,0.0007651336491107941,1,0.009706642478704453,1,0.009706642478704453,0.009706616401672363,0.9999855756759644,4.82287168779294e-06,9.64574337558588e-06,1,97.06642478704453
2008-01-24,fold_1,Pre-crisis upturn + GFC onset,0.001279617426916957,1,-0.006706463638693094,-1,-0.006706463638693094,0.002935051918029785,0.9999799728393555,6.676088560197968e-06,1.3352177120395936e-05,0,-67.06463638693094
2008-01-25,fold_1,Pre-crisis upturn + GFC onset,-0.0026121388655155897,-1,0.007704523392021656,1,-0.007704523392021656,-0.00479203462600708,0.9999812841415405,6.218870112206787e-06,1.2437740224413574e-05,0,-77.04523392021656
2008-01-28,fold_1,Pre-crisis upturn + GFC onset,-0.00776670640334487,-1,-0.001093094702810049,-1,0.001093094702810049,-0.0037041306495666504,0.9999771118164062,7.617654318892164e-06,1.5235308637784328e-05,1,10.93094702810049
2008-01-29,fold_1,Pre-crisis upturn + GFC onset,-0.0031130637507885695,-1,0.004004329908639193,1,-0.004004329908639193,-0.007693648338317871,0.999974250793457,8.588951459387317e-06,1.7177902918774635e-05,0,-40.043299086391926
2008-01-30,fold_1,Pre-crisis upturn + GFC onset,-0.0017204968025907874,-1,0.002289247466251254,1,-0.002289247466251254,-0.009965300559997559,0.9999707937240601,9.73423902905779e-06,1.946847805811558e-05,0,-22.89247466251254
2008-01-31,fold_1,Pre-crisis upturn + GFC onset,-0.006307914853096008,-1,-0.004380703438073397,-1,0.004380703438073397,-0.005628228187561035,0.999977707862854,7.414405899908161e-06,1.4828811799816322e-05,1,43.80703438073397
2008-02-01,fold_1,Pre-crisis upturn + GFC onset,-0.007200968451797962,-1,0.001897936686873436,1,-0.001897936686873436,-0.0075154900550842285,0.9999709129333496,9.685711120255291e-06,1.9371422240510583e-05,0,-18.97936686873436
2008-02-04,fold_1,Pre-crisis upturn + GFC onset,-0.00432866346091032,-1,-0.012808330357074738,-1,0.012808330357074738,0.005196571350097656,0.9999767541885376,7.740403816569597e-06,1.5480807633139193e-05,1,128.08330357074738
2008-02-05,fold_1,Pre-crisis upturn + GFC onset,-0.008844735100865364,-1,-0.0014324913499876857,-1,0.0014324913499876857,0.006636500358581543,0.9999828338623047,5.733837042498635e-06,1.146767408499727e-05,1,14.324913499876857
2008-02-06,fold_1,Pre-crisis upturn + GFC onset,-0.0021953743416815996,-1,-0.009454712271690369,-1,0.009454712271690369,0.016153931617736816,0.9999804496765137,6.501143161585787e-06,1.3002286323171575e-05,1,94.54712271690369
2008-02-07,fold_1,Pre-crisis upturn + GFC onset,-0.003603999735787511,-1,0.07542583346366882,1,-0.07542583346366882,-0.06049036979675293,0.9999728202819824,9.04934586287709e-06,1.809869172575418e-05,0,-754.2583346366882
