date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-04-09,fold_1,Pre-crisis upturn + GFC onset,0.03585470840334892,1,-0.005179158411920071,-1,-0.005179158411920071,-0.005179166793823242,0.997055172920227,0.0009844976011663675,0.001968995202332735,0,-51.79158411920071
2008-04-10,fold_1,Pre-crisis upturn + GFC onset,0.010804359801113605,1,0.005078901536762714,1,0.005078901536762714,-0.0001265406608581543,0.9991133809089661,0.00029580373666249216,0.0005916074733249843,1,50.789015367627144
2008-04-11,fold_1,Pre-crisis upturn + GFC onset,-0.004734068643301725,-1,0.00018986649229191244,1,-0.00018986649229191244,-0.00031638145446777344,0.9961309432983398,0.001294692512601614,0.002589385025203228,0,-1.8986649229191244
2008-04-14,fold_1,Pre-crisis upturn + GFC onset,-0.11091039329767227,-1,-0.002462598029524088,-1,0.002462598029524088,0.00214540958404541,0.997687816619873,0.0007725144387222826,0.0015450288774445653,1,24.62598029524088
2008-04-15,fold_1,Pre-crisis upturn + GFC onset,0.04704634100198746,1,0.010899379849433899,1,0.010899379849433899,0.013068199157714844,0.9966015815734863,0.0011366441613063216,0.0022732883226126432,1,108.99379849433899
2008-04-16,fold_1,Pre-crisis upturn + GFC onset,-0.0404326356947422,-1,-0.0035143231507390738,-1,0.0035143231507390738,0.016628384590148926,0.9986876845359802,0.00043799233390018344,0.0008759846678003669,1,35.14323150739074
2008-04-17,fold_1,Pre-crisis upturn + GFC onset,-0.003156664315611124,-1,-0.010573179461061954,-1,0.010573179461061954,0.02737736701965332,0.9956682920455933,0.001450196374207735,0.00290039274841547,1,105.73179461061954
2008-04-18,fold_1,Pre-crisis upturn + GFC onset,-0.025216609239578247,-1,0.011313356459140778,1,-0.011313356459140778,0.015754222869873047,0.9987530708312988,0.0004161513061262667,0.0008323026122525334,0,-113.13356459140778
2008-04-21,fold_1,Pre-crisis upturn + GFC onset,-0.024145767092704773,-1,0.004780459683388472,1,-0.004780459683388472,0.010898470878601074,0.9965937733650208,0.0011392777087166905,0.002278555417433381,0,-47.804596833884716
2008-04-22,fold_1,Pre-crisis upturn + GFC onset,-0.0007408267119899392,-1,-0.007127514574676752,-1,0.007127514574676752,0.018103718757629395,0.9992243051528931,0.0002587798808235675,0.000517559761647135,1,71.27514574676752
2008-04-23,fold_1,Pre-crisis upturn + GFC onset,-0.13752613961696625,-1,-0.011966871097683907,-1,0.011966871097683907,0.03028714656829834,0.997876763343811,0.0007092650048434734,0.0014185300096869469,1,119.66871097683907
2008-04-24,fold_1,Pre-crisis upturn + GFC onset,0.1159009113907814,1,-0.0030023385770618916,-1,-0.0030023385770618916,0.027193903923034668,0.9978098273277283,0.0007316822302527726,0.0014633644605055451,0,-30.023385770618916
2008-04-25,fold_1,Pre-crisis upturn + GFC onset,0.05020294338464737,1,0.0010174394119530916,1,0.0010174394119530916,0.028239011764526367,0.9992378950119019,0.0002542458532843739,0.0005084917065687478,1,10.174394119530916
2008-04-28,fold_1,Pre-crisis upturn + GFC onset,0.035987623035907745,1,-0.0054796477779746056,-1,-0.0054796477779746056,0.02260458469390869,0.9993398785591125,0.0002201832103310153,0.0004403664206620306,0,-54.796477779746056
2008-04-30,fold_1,Pre-crisis upturn + GFC onset,0.13909390568733215,1,-0.012038466520607471,-1,-0.012038466520607471,0.010293960571289062,0.9971989393234253,0.0009363037534058094,0.0018726075068116188,0,-120.38466520607471
2008-05-02,fold_1,Pre-crisis upturn + GFC onset,-0.05239502713084221,-1,0.00415347795933485,1,-0.00415347795933485,0.006097674369812012,0.9937686920166016,0.0020901185926049948,0.0041802371852099895,0,-41.5347795933485
2008-05-07,fold_1,Pre-crisis upturn + GFC onset,0.007467958610504866,1,0.005134144332259893,1,0.005134144332259893,0.011263132095336914,0.9990461468696594,0.0003182298969477415,0.000636459793895483,1,51.341443322598934
