date,fold,regime,prediction,pred_direction,actual_return,actual_direction,strategy_return,cumulative_return,confidence,aleatoric,epistemic,correct,pnl_bps
2008-04-09,fold_1,Pre-crisis upturn + GFC onset,0.0031599130015820265,1,-0.005179158411920071,-1,-0.005179158411920071,-0.005179166793823242,0.9998794794082642,4.0187900594901294e-05,8.037580118980259e-05,0,-51.79158411920071
2008-04-10,fold_1,Pre-crisis upturn + GFC onset,-0.0005621295422315598,-1,0.005078901536762714,1,-0.005078901536762714,-0.01023179292678833,0.9999101161956787,2.9955010177218355e-05,5.991002035443671e-05,0,-50.789015367627144
2008-04-11,fold_1,Pre-crisis upturn + GFC onset,-0.0008259512833319604,-1,0.00018986649229191244,1,-0.00018986649229191244,-0.010419666767120361,0.9999433755874634,1.8879025446949527e-05,3.775805089389905e-05,0,-1.8986649229191244
2008-04-14,fold_1,Pre-crisis upturn + GFC onset,0.002173633547499776,1,-0.002462598029524088,-1,-0.002462598029524088,-0.012856662273406982,0.999922513961792,2.5816145353019238e-05,5.1632290706038475e-05,0,-24.62598029524088
2008-04-15,fold_1,Pre-crisis upturn + GFC onset,-0.003295550122857094,-1,0.010899379849433899,1,-0.010899379849433899,-0.023615896701812744,0.9999207258224487,2.642240906425286e-05,5.284481812850572e-05,0,-108.99379849433899
2008-04-16,fold_1,Pre-crisis upturn + GFC onset,0.0002516146341804415,1,-0.0035143231507390738,-1,-0.0035143231507390738,-0.027047276496887207,0.9999518394470215,1.6065607269410975e-05,3.213121453882195e-05,0,-35.14323150739074
2008-04-17,fold_1,Pre-crisis upturn + GFC onset,0.0037551054265350103,1,-0.010573179461061954,-1,-0.010573179461061954,-0.03733450174331665,0.9999058246612549,3.139667023788206e-05,6.279334047576413e-05,0,-105.73179461061954
2008-04-18,fold_1,Pre-crisis upturn + GFC onset,0.001287440420128405,1,0.011313356459140778,1,0.011313356459140778,-0.026443541049957275,0.9999245405197144,2.51605251833098e-05,5.03210503666196e-05,1,113.13356459140778
2008-04-21,fold_1,Pre-crisis upturn + GFC onset,-0.00047159494715742767,-1,0.004780459683388472,1,-0.004780459683388472,-0.031097590923309326,0.9999302625656128,2.3254322513821535e-05,4.650864502764307e-05,0,-47.804596833884716
2008-04-22,fold_1,Pre-crisis upturn + GFC onset,0.0017540730768814683,1,-0.007127514574676752,-1,-0.007127514574676752,-0.03800344467163086,0.9999135732650757,2.8786782422685064e-05,5.757356484537013e-05,0,-71.27514574676752
2008-04-23,fold_1,Pre-crisis upturn + GFC onset,0.0035721079912036657,1,-0.011966871097683907,-1,-0.011966871097683907,-0.04951554536819458,0.9998835325241089,3.880079020746052e-05,7.760158041492105e-05,0,-119.66871097683907
2008-04-24,fold_1,Pre-crisis upturn + GFC onset,0.0030658934265375137,1,-0.0030023385770618916,-1,-0.0030023385770618916,-0.05236923694610596,0.9999011754989624,3.295128408353776e-05,6.590256816707551e-05,0,-30.023385770618916
2008-04-25,fold_1,Pre-crisis upturn + GFC onset,-0.0011296359589323401,-1,0.0010174394119530916,1,-0.0010174394119530916,-0.053333401679992676,0.9999058246612549,3.1394014513352886e-05,6.278802902670577e-05,0,-10.174394119530916
2008-04-28,fold_1,Pre-crisis upturn + GFC onset,-0.0006086258799768984,-1,-0.0054796477779746056,-1,0.0054796477779746056,-0.048145949840545654,0.9999595880508423,1.3461557500704657e-05,2.6923115001409315e-05,1,54.796477779746056
2008-04-30,fold_1,Pre-crisis upturn + GFC onset,0.00269179861061275,1,-0.012038466520607471,-1,-0.012038466520607471,-0.05960482358932495,0.9999222755432129,2.589679934317246e-05,5.179359868634492e-05,0,-120.38466520607471
2008-05-02,fold_1,Pre-crisis upturn + GFC onset,0.0029384996742010117,1,0.00415347795933485,1,0.00415347795933485,-0.055698931217193604,0.999881386756897,3.955361171392724e-05,7.910722342785448e-05,1,41.5347795933485
2008-05-07,fold_1,Pre-crisis upturn + GFC onset,0.0023951574694365263,1,0.005134144332259893,1,0.005134144332259893,-0.05085080862045288,0.9999414682388306,1.9495868400554173e-05,3.8991736801108345e-05,1,51.341443322598934
2008-05-08,fold_1,Pre-crisis upturn + GFC onset,0.0018484293250367045,1,0.0016728068003430963,1,0.0016728068003430963,-0.04926300048828125,0.9999440908432007,1.8631219063536264e-05,3.726243812707253e-05,1,16.728068003430963
2008-05-09,fold_1,Pre-crisis upturn + GFC onset,0.0010357399005442858,1,0.0032323605846613646,1,0.0032323605846613646,-0.04618990421295166,0.9999356269836426,2.146004408132285e-05,4.29200881626457e-05,1,32.323605846613646
