feature,domain,baseline_sharpe,permuted_sharpe,sharpe_drop,rank
month,calendar,1.562700,0.840700,0.721900,1
dec_effect,calendar,1.562700,0.852300,0.710300,2
sec_xlk_logret_5d,sectors,1.562700,0.926800,0.635900,3
silver_logret_5d,commodities,1.562700,0.968300,0.594300,4
tlt_logret_5d,bonds_credit,1.562700,0.995100,0.567600,5
dax_logret_5d,intl_risk,1.562700,0.997300,0.565300,6
xle_logret_1d,sectors,1.562700,1.009500,0.553200,7
vxn_z60,volatility_regime,1.562700,1.015400,0.547300,8
vix,volatility_regime,1.562700,1.058100,0.504600,9
qqq_logret_1d,qqq_primary,1.562700,1.070100,0.492500,10
qqq_over_ixic_5d,qqq_primary,1.562700,1.087600,0.475100,11
gold_logret_1d,commodities,1.562700,1.111300,0.451400,12
sec_xli_logret_5d,sectors,1.562700,1.123300,0.439400,13
agg_logret_5d,bonds_credit,1.562700,1.123300,0.439400,14
qqq_logret_120d,qqq_primary,1.562700,1.126200,0.436400,15
qqq_close_to_sma200,qqq_primary,1.562700,1.126200,0.436400,16
qqq_macd_norm,qqq_primary,1.562700,1.126200,0.436400,17
qqq_donchian_pos50,qqq_primary,1.562700,1.126200,0.436400,18
qqq_donchian_pos252,qqq_primary,1.562700,1.126200,0.436400,19
qqq_mom_6m,qqq_primary,1.562700,1.126200,0.436400,20
qqq_mom_9m,qqq_primary,1.562700,1.126200,0.436400,21
qqq_mom_12_1,qqq_primary,1.562700,1.126200,0.436400,22
xlf_logret_20d,sectors,1.562700,1.126200,0.436400,23
xle_logret_5d,sectors,1.562700,1.126200,0.436400,24
xle_ma20_z,sectors,1.562700,1.126200,0.436400,25
term_10y_3m,yields_curve,1.562700,1.126200,0.436400,26
eurusd_logret_1d,fx_macro,1.562700,1.126200,0.436400,27
eurusd_logret_20d,fx_macro,1.562700,1.126200,0.436400,28
qqq_over_iwm,qqq_primary,1.562700,1.126200,0.436400,29
sec_xle_logret_5d,sectors,1.562700,1.126200,0.436400,30
dow_mon,calendar,1.562700,1.126200,0.436400,31
santa_rally,calendar,1.562700,1.132600,0.430100,32
dow_thu,calendar,1.562700,1.134800,0.427900,33
vix_z60,volatility_regime,1.562700,1.150400,0.412300,34
qqq_logret_20d,qqq_primary,1.562700,1.174900,0.387800,35
qqq_donchian_pos20,qqq_primary,1.562700,1.174900,0.387800,36
xle_logret_20d,sectors,1.562700,1.174900,0.387800,37
xlu_logret_5d,sectors,1.562700,1.174900,0.387800,38
qqq_obv_z60,qqq_primary,1.562700,1.179400,0.383300,39
ftse_logret_5d,intl_risk,1.562700,1.189300,0.373300,40
qqq_over_soxx_5d,qqq_primary,1.562700,1.189300,0.373300,41
earnings_season,calendar,1.562700,1.195300,0.367400,42
qqq_over_efa_5d,qqq_primary,1.562700,1.201500,0.361200,43
qqq_park_vol_5d,qqq_primary,1.562700,1.222100,0.340600,44
turn_of_month,calendar,1.562700,1.225900,0.336800,45
qqq_close_to_sma100,qqq_primary,1.562700,1.241200,0.321400,46
xly_minus_xlp_5d,sectors,1.562700,1.260300,0.302400,47
opex_week,calendar,1.562700,1.263400,0.299300,48
xli_logret_1d,sectors,1.562700,1.317200,0.245400,49
eurusd_logret_5d,fx_macro,1.562700,1.318500,0.244200,50
xly_logret_5d,sectors,1.562700,1.341100,0.221500,51
xly_logret_1d,sectors,1.562700,1.343600,0.219100,52
opex_friday,calendar,1.562700,1.352700,0.209900,53
sec_xlp_logret_5d,sectors,1.562700,1.355800,0.206900,54
qqq_stoch_k14,qqq_primary,1.562700,1.360600,0.202000,55
qqq_logret_5d,qqq_primary,1.562700,1.375100,0.187500,56
xlb_logret_5d,sectors,1.562700,1.381800,0.180900,57
qqq_close_to_sma20,qqq_primary,1.562700,1.393900,0.168800,58
wti_logret_20d,commodities,1.562700,1.414200,0.148400,59
jan_effect,calendar,1.562700,1.425700,0.136900,60
var_ratio_5_1,autoregressive,1.562700,1.430400,0.132200,61
xlb_ma20_z,sectors,1.562700,1.430600,0.132000,62
copper_logret_20d,commodities,1.562700,1.439900,0.122700,63
xlk_logret_20d,sectors,1.562700,1.462400,0.100300,64
wti_logret_5d,commodities,1.562700,1.462700,0.099900,65
xlp_logret_5d,sectors,1.562700,1.463900,0.098700,66
month_cos,calendar,1.562700,1.471800,0.090900,67
skew_change_5d,volatility_regime,1.562700,1.498200,0.064500,68
qqq_yz_vol_60d,qqq_primary,1.562700,1.499100,0.063500,69
xly_logret_20d,sectors,1.562700,1.499100,0.063500,70
vxn,volatility_regime,1.562700,1.499100,0.063500,71
yld_3m,yields_curve,1.562700,1.499100,0.063500,72
ief_logret_20d,bonds_credit,1.562700,1.499100,0.063500,73
dxy_logret_20d,fx_macro,1.562700,1.499100,0.063500,74
sector_dispersion_5d,sectors,1.562700,1.499100,0.063500,75
hsi_logret_5d,intl_risk,1.562700,1.499100,0.063500,76
dd_from_252max,autoregressive,1.562700,1.499100,0.063500,77
xlp_logret_20d,sectors,1.562700,1.508700,0.053900,78
lag_ret_5d,autoregressive,1.562700,1.519800,0.042800,79
iwm_logret_5d,benchmarks,1.562700,1.527000,0.035700,80
qqq_rsi14,qqq_primary,1.562700,1.539000,0.023700,81
xlp_ma20_z,sectors,1.562700,1.541300,0.021400,82
wti_logret_1d,commodities,1.562700,1.541800,0.020800,83
qqq_park_vol_20d,qqq_primary,1.562700,1.548100,0.014500,84
xlv_logret_1d,sectors,1.562700,1.548100,0.014500,85
move_over_vix,volatility_regime,1.562700,1.548100,0.014500,86
yld_10y_5d,yields_curve,1.562700,1.548100,0.014500,87
sec_xly_logret_5d,sectors,1.562700,1.548100,0.014500,88
sec_xlb_logret_5d,sectors,1.562700,1.548100,0.014500,89
vix_logret_1d,volatility_regime,1.562700,1.552500,0.010200,90
dow_tue,calendar,1.562700,1.552500,0.010200,91
silver_logret_20d,commodities,1.562700,1.561500,0.001100,92
qqq_logret_60d,qqq_primary,1.562700,1.562700,0.000000,93
qqq_rsi28,qqq_primary,1.562700,1.562700,0.000000,94
