date,pred_ret_1d,pred_direction,actual_ret_1d,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-24,-0.009063,-1,-0.000064,1,0.000064,0.000064,-0.000064
2025-12-26,-0.002524,-1,-0.004852,1,0.004852,0.004916,-0.004916
2025-12-29,-0.002886,-1,-0.002322,1,0.002322,0.007239,-0.007239
2025-12-30,-0.001857,-1,-0.008300,1,0.008300,0.015539,-0.015539
2025-12-31,0.005950,1,-0.001939,0,-0.001939,0.013600,-0.017478
2026-01-02,0.007609,1,0.007912,1,0.007912,0.021511,-0.009566
2026-01-05,-0.004806,-1,0.008748,0,-0.008748,0.012763,-0.000818
2026-01-06,-0.002926,-1,0.000962,0,-0.000962,0.011801,0.000144
2026-01-07,-0.004885,-1,-0.005705,1,0.005705,0.017506,-0.005561
2026-01-08,-0.001485,-1,0.009911,0,-0.009911,0.007595,0.004350
2026-01-09,0.000182,1,0.000829,1,0.000829,0.008425,0.005179
2026-01-12,0.002438,1,-0.001484,0,-0.001484,0.006941,0.003695
2026-01-13,-0.005986,-1,-0.010740,1,0.010740,0.017681,-0.007045
2026-01-14,0.001995,1,0.003593,1,0.003593,0.021274,-0.003452
2026-01-15,0.004651,1,-0.000837,0,-0.000837,0.020437,-0.004288
2026-01-16,0.007235,1,-0.021476,0,-0.021476,-0.001039,-0.025765
2026-01-20,0.005106,1,0.013428,1,0.013428,0.012389,-0.012337
2026-01-21,0.000240,1,0.007243,1,0.007243,0.019632,-0.005094
2026-01-22,-0.025082,-1,0.003152,0,-0.003152,0.016480,-0.001941
2026-01-23,-0.007789,-1,0.004390,0,-0.004390,0.012089,0.002449
2026-01-26,-0.004842,-1,0.009024,0,-0.009024,0.003065,0.011474
2026-01-27,-0.010230,-1,0.003306,0,-0.003306,-0.000241,0.014780
2026-01-28,-0.002655,-1,-0.006003,1,0.006003,0.005762,0.008776
2026-01-29,-0.000692,-1,-0.012084,1,0.012084,0.017846,-0.003307
2026-01-30,-0.000510,-1,0.006843,0,-0.006843,0.011003,0.003536
2026-02-02,-0.006900,-1,-0.015483,1,0.015483,0.026486,-0.011947
2026-02-03,-0.002628,-1,-0.017623,1,0.017623,0.044109,-0.029571
2026-02-04,-0.007596,-1,-0.014500,1,0.014500,0.058609,-0.044071
2026-02-05,-0.007005,-1,0.020918,0,-0.020918,0.037692,-0.023153
2026-02-06,-0.012732,-1,0.007631,0,-0.007631,0.030061,-0.015522
2026-02-09,-0.014329,-1,-0.004650,1,0.004650,0.034711,-0.020172
2026-02-10,-0.005315,-1,0.002678,0,-0.002678,0.032032,-0.017494
2026-02-11,-0.017285,-1,-0.020549,1,0.020549,0.052581,-0.038042
2026-02-12,-0.009610,-1,0.002129,0,-0.002129,0.050452,-0.035914
2026-02-13,-0.015681,-1,-0.001031,1,0.001031,0.051483,-0.036944
2026-02-17,-0.012215,-1,0.007439,0,-0.007439,0.044043,-0.029505
2026-02-18,-0.009205,-1,-0.003837,1,0.003837,0.047880,-0.033342
2026-02-19,0.008272,1,0.008810,1,0.008810,0.056690,-0.024532
2026-02-20,0.005751,1,-0.012229,0,-0.012229,0.044461,-0.036761
2026-02-23,-0.004037,-1,0.010684,0,-0.010684,0.033777,-0.026077
2026-02-24,-0.003124,-1,0.014389,0,-0.014389,0.019388,-0.011688
2026-02-25,0.000695,1,-0.012138,0,-0.012138,0.007250,-0.023826
2026-02-26,-0.004946,-1,-0.003206,1,0.003206,0.010455,-0.027032
