date,pred_ret_1d,pred_ret_5d,logvar_1d,pred_direction,actual_ret_1d,actual_direction,correct,strategy_pnl,cumulative_pnl,cumulative_buy_hold
2025-12-01,-0.005704,-0.028557,-0.122678,-1,0.007796,1,0,-0.007796,-0.007796,0.007796
2025-12-02,-0.004550,-0.025654,-0.118974,-1,0.002441,1,0,-0.002441,-0.010236,0.010236
2025-12-03,-0.004666,-0.028460,-0.125506,-1,-0.000931,-1,1,0.000931,-0.009306,0.009306
2025-12-04,-0.009663,-0.029813,-0.125741,-1,0.004069,1,0,-0.004069,-0.013375,0.013375
2025-12-05,-0.006367,-0.023674,-0.116917,-1,-0.001920,-1,1,0.001920,-0.011455,0.011455
2025-12-08,-0.007340,-0.027140,-0.136750,-1,0.001233,1,0,-0.001233,-0.012687,0.012687
2025-12-09,-0.007407,-0.031015,-0.122078,-1,0.004087,1,0,-0.004087,-0.016774,0.016774
2025-12-10,-0.006842,-0.015883,-0.113807,-1,-0.003240,-1,1,0.003240,-0.013535,0.013535
2025-12-11,-0.002531,-0.012039,-0.117686,-1,-0.019303,-1,1,0.019303,0.005769,-0.005769
2025-12-12,0.009410,0.020903,-0.081916,1,-0.005032,-1,0,-0.005032,0.000736,-0.010801
2025-12-15,0.022286,0.020258,-0.105502,1,0.001980,1,1,0.001980,0.002716,-0.008821
2025-12-16,0.022765,0.014077,-0.114840,1,-0.018711,-1,0,-0.018711,-0.015995,-0.027532
2025-12-17,0.012132,0.012785,-0.108517,1,0.014386,1,1,0.014386,-0.001608,-0.013146
2025-12-18,0.004487,-0.001757,-0.129095,1,0.012951,1,1,0.012951,0.011343,-0.000194
2025-12-19,0.003114,-0.011048,-0.112763,1,0.004782,1,1,0.004782,0.016125,0.004588
2025-12-22,-0.003959,-0.020647,-0.125768,-1,0.004672,1,0,-0.004672,0.011452,0.009260
2025-12-23,-0.002411,-0.014222,-0.126524,-1,0.002921,1,0,-0.002921,0.008531,0.012181
2025-12-24,-0.003320,-0.019733,-0.133198,-1,-0.000064,-1,1,0.000064,0.008595,0.012117
2025-12-26,-0.000247,-0.016644,-0.122695,-1,-0.004852,-1,1,0.004852,0.013447,0.007265
2025-12-29,-0.002379,-0.013168,-0.138091,-1,-0.002322,-1,1,0.002322,0.015770,0.004943
2025-12-30,0.006800,-0.016410,-0.109883,1,-0.008300,-1,0,-0.008300,0.007470,-0.003357
2025-12-31,-0.000811,-0.001241,-0.107273,-1,-0.001939,-1,1,0.001939,0.009409,-0.005296
2026-01-02,0.004439,-0.010279,-0.051936,1,0.007912,1,1,0.007912,0.017320,0.002615
2026-01-05,0.005142,-0.016184,-0.106035,1,0.008748,1,1,0.008748,0.026068,0.011364
2026-01-06,0.001849,0.002095,-0.126880,1,0.000962,1,1,0.000962,0.027030,0.012326
2026-01-07,0.001562,0.001743,-0.126130,1,-0.005705,-1,0,-0.005705,0.021325,0.006620
2026-01-08,0.000422,-0.001364,-0.100439,1,0.009911,1,1,0.009911,0.031236,0.016531
2026-01-09,0.000516,-0.009076,-0.110280,1,0.000829,1,1,0.000829,0.032066,0.017361
2026-01-12,-0.000664,-0.012103,-0.108005,-1,-0.001484,-1,1,0.001484,0.033549,0.015877
2026-01-13,-0.000906,-0.006353,-0.096404,-1,-0.010740,-1,1,0.010740,0.044290,0.005137
2026-01-14,0.003891,-0.022579,-0.106454,1,0.003593,1,1,0.003593,0.047883,0.008729
2026-01-15,0.002099,-0.011593,-0.073408,1,-0.000837,-1,0,-0.000837,0.047046,0.007893
2026-01-16,0.007077,0.009127,-0.076859,1,-0.021476,-1,0,-0.021476,0.025570,-0.013583
2026-01-20,0.022752,0.010238,0.003546,1,0.013428,1,1,0.013428,0.038998,-0.000155
2026-01-21,0.010480,0.007143,-0.062217,1,0.007243,1,1,0.007243,0.046241,0.007088
2026-01-22,0.007188,-0.000010,-0.091793,1,0.003152,1,1,0.003152,0.049393,0.010240
2026-01-23,0.011886,0.008271,-0.043997,1,0.004390,1,1,0.004390,0.053784,0.014631
2026-01-26,0.006264,-0.004485,-0.058809,1,0.009024,1,1,0.009024,0.062808,0.023655
2026-01-27,-0.004543,-0.006986,-0.127642,-1,0.003306,1,0,-0.003306,0.059502,0.026961
2026-01-28,0.000053,-0.007727,-0.078305,1,-0.006003,-1,0,-0.006003,0.053499,0.020958
2026-01-29,-0.002940,-0.005976,-0.062179,-1,-0.012084,-1,1,0.012084,0.065583,0.008874
2026-01-30,0.029269,0.055170,-0.120753,1,0.006843,1,1,0.006843,0.072426,0.015717
2026-02-02,0.015775,0.002183,-0.035564,1,-0.015483,-1,0,-0.015483,0.056942,0.000234
2026-02-03,0.016083,-0.010425,-0.028080,1,-0.017623,-1,0,-0.017623,0.039319,-0.017389
2026-02-04,0.002082,0.003277,-0.089014,1,-0.014500,-1,0,-0.014500,0.024819,-0.031889
2026-02-05,0.000793,0.008810,-0.096933,1,0.020918,1,1,0.020918,0.045737,-0.010972
2026-02-06,0.001818,0.012048,-0.039648,1,0.007631,1,1,0.007631,0.053367,-0.003341
2026-02-09,0.022347,0.005581,-0.043523,1,-0.004650,-1,0,-0.004650,0.048717,-0.007991
2026-02-10,0.019612,0.062500,-0.011965,1,0.002678,1,1,0.002678,0.051396,-0.005313
2026-02-11,0.002512,-0.034748,-0.020571,1,-0.020549,-1,0,-0.020549,0.030847,-0.025861
2026-02-12,0.002304,0.024905,-0.122705,1,0.002129,1,1,0.002129,0.032976,-0.023732
2026-02-13,0.011059,0.026155,0.030599,1,-0.001031,-1,0,-0.001031,0.031945,-0.024763
2026-02-17,0.002146,0.007757,-0.070959,1,0.007439,1,1,0.007439,0.039385,-0.017324
2026-02-18,0.011938,0.002749,0.001058,1,-0.003837,-1,0,-0.003837,0.035548,-0.021161
2026-02-19,0.001314,-0.006758,-0.085304,1,0.008810,1,1,0.008810,0.044358,-0.012351
2026-02-20,0.032969,0.019227,0.038913,1,-0.012229,-1,0,-0.012229,0.032128,-0.024580
2026-02-23,0.025276,0.033297,0.035505,1,0.010684,1,1,0.010684,0.042813,-0.013896
2026-02-24,0.012470,0.013237,0.094739,1,0.014389,1,1,0.014389,0.057202,0.000493
2026-02-25,0.010989,0.000606,-0.018788,1,-0.012138,-1,0,-0.012138,0.045064,-0.011645
2026-02-26,-0.001143,0.011855,-0.123949,-1,-0.003206,-1,1,0.003206,0.048270,-0.014850
2026-02-27,0.008628,0.032027,-0.014176,1,0.001316,1,1,0.001316,0.049586,-0.013534
2026-03-02,-0.004123,-0.031964,0.019467,-1,-0.010763,-1,1,0.010763,0.060349,-0.024297
2026-03-03,-0.002264,-0.006930,-0.132200,-1,0.015128,1,0,-0.015128,0.045221,-0.009169
2026-03-04,0.003091,0.005390,-0.123828,1,-0.003017,-1,0,-0.003017,0.042204,-0.012187
2026-03-05,0.002841,0.014019,-0.138286,1,-0.015158,-1,0,-0.015158,0.027046,-0.027344
2026-03-06,0.007148,0.021695,-0.124360,1,0.013267,1,1,0.013267,0.040314,-0.014077
2026-03-09,0.004791,0.000003,-0.112429,1,0.000016,1,1,0.000016,0.040330,-0.014060
2026-03-10,0.034720,0.041702,-0.028790,1,-0.000132,-1,0,-0.000132,0.040198,-0.014192
2026-03-11,-0.006052,-0.034960,-0.108500,-1,-0.017312,-1,1,0.017312,0.057511,-0.031504
2026-03-12,-0.003602,-0.021109,-0.120915,-1,-0.005945,-1,1,0.005945,0.063456,-0.037449
2026-03-13,-0.002421,-0.023985,-0.116913,-1,0.011155,1,0,-0.011155,0.052301,-0.026294
2026-03-16,-0.008292,-0.041414,-0.124827,-1,0.004868,1,0,-0.004868,0.047432,-0.021426
2026-03-17,0.005790,-0.026816,-0.037242,1,-0.014038,-1,0,-0.014038,0.033395,-0.035463
2026-03-18,-0.008182,-0.026060,-0.134189,-1,-0.003165,-1,1,0.003165,0.036560,-0.038629
2026-03-19,-0.005685,0.018220,-0.089411,-1,-0.018655,-1,1,0.018655,0.055214,-0.057283
2026-03-20,0.000603,0.018315,-0.123490,1,0.011414,1,1,0.011414,0.066628,-0.045870
2026-03-23,-0.002075,0.023019,-0.127758,-1,-0.006860,-1,1,0.006860,0.073488,-0.052730
2026-03-24,0.002325,0.014602,-0.124256,1,0.006554,1,1,0.006554,0.080042,-0.046176
2026-03-25,0.005193,0.040924,-0.086774,1,-0.024157,-1,0,-0.024157,0.055885,-0.070333
2026-03-26,0.004171,0.026364,-0.116465,1,-0.019730,-1,0,-0.019730,0.036155,-0.090063
2026-03-27,0.004537,0.024442,-0.104206,1,-0.007673,-1,0,-0.007673,0.028482,-0.097736
2026-03-30,0.003698,0.016280,-0.092927,1,0.033293,1,1,0.033293,0.061776,-0.064443
2026-03-31,0.007310,0.016302,-0.099853,1,0.012277,1,1,0.012277,0.074053,-0.052165
2026-04-01,0.012433,0.036571,-0.079978,1,0.001146,1,1,0.001146,0.075199,-0.051019
2026-04-02,-0.012593,-0.005470,-0.051134,-1,0.005999,1,0,-0.005999,0.069200,-0.045020
2026-04-06,-0.002339,-0.006037,-0.096493,-1,0.000153,1,0,-0.000153,0.069047,-0.044867
2026-04-07,-0.003841,-0.004663,-0.102100,-1,0.029299,1,0,-0.029299,0.039748,-0.015568
2026-04-08,0.001100,0.012705,-0.097854,1,0.006742,1,1,0.006742,0.046490,-0.008826
2026-04-09,-0.004310,-0.003866,-0.120210,-1,0.001441,1,0,-0.001441,0.045049,-0.007385
2026-04-10,-0.004063,0.002274,-0.112690,-1,0.010289,1,0,-0.010289,0.034760,0.002904
2026-04-13,-0.005269,-0.009157,-0.123858,-1,0.017994,1,0,-0.017994,0.016765,0.020898
2026-04-14,-0.003949,-0.007863,-0.123605,-1,0.013902,1,0,-0.013902,0.002863,0.034801
2026-04-15,-0.008416,-0.014444,-0.128192,-1,0.004805,1,0,-0.004805,-0.001942,0.039605
2026-04-16,-0.009020,-0.015130,-0.132307,-1,0.012999,1,0,-0.012999,-0.014941,0.052605
2026-04-17,-0.004248,-0.009748,-0.127638,-1,-0.003180,-1,1,0.003180,-0.011761,0.049425
2026-04-20,-0.007077,-0.012364,-0.128242,-1,-0.003811,-1,1,0.003811,-0.007951,0.045614
2026-04-21,-0.005586,-0.003977,-0.122977,-1,0.016592,1,0,-0.016592,-0.024543,0.062206
2026-04-22,-0.005762,-0.017758,-0.121326,-1,-0.005649,-1,1,0.005649,-0.018894,0.056558
2026-04-23,-0.004890,-0.019329,-0.125398,-1,,0,0,,-0.018894,0.056558
2026-04-24,-0.007931,-0.019829,-0.122965,-1,,0,0,,-0.018894,0.056558
2026-04-27,-0.008265,-0.027116,-0.141262,-1,,0,0,,-0.018894,0.056558
2026-04-28,-0.005016,-0.021288,-0.147644,-1,,0,0,,-0.018894,0.056558
2026-04-29,-0.005814,-0.030095,-0.135888,-1,,0,0,,-0.018894,0.056558
